Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:50,-0.11°,84.77°,5.23°,-174.77°,--
05:55,0.98°,84.45°,5.55°,-174.45°,58.43483
06:00,2.07°,84.13°,5.87°,-174.13°,27.62127
06:05,3.21°,83.80°,6.20°,-173.80°,17.85414
06:10,4.36°,83.47°,6.53°,-173.47°,13.11636
06:15,5.53°,83.14°,6.86°,-173.14°,10.33198
06:20,6.70°,82.80°,7.20°,-172.80°,8.50673
06:25,7.89°,82.46°,7.54°,-172.46°,7.22003
06:30,9.07°,82.12°,7.88°,-172.12°,6.26468
06:35,10.25°,81.77°,8.23°,-171.77°,5.52735
06:40,11.44°,81.42°,8.58°,-171.42°,4.94097
06:45,12.63°,81.06°,8.94°,-171.06°,4.46333
06:50,13.82°,80.69°,9.31°,-170.69°,4.06656
06:55,15.00°,80.32°,9.68°,-170.32°,3.73154
07:00,16.19°,79.94°,10.06°,-169.94°,3.44473
07:05,17.37°,79.56°,10.44°,-169.56°,3.19627
07:10,18.56°,79.17°,10.83°,-169.17°,2.97880
07:15,19.74°,78.77°,11.23°,-168.77°,2.78674
07:20,20.92°,78.36°,11.64°,-168.36°,2.61576
07:25,22.10°,77.94°,12.06°,-167.94°,2.46247
07:30,23.28°,77.51°,12.49°,-167.51°,2.32417
07:35,24.46°,77.08°,12.92°,-167.08°,2.19866
07:40,25.63°,76.63°,13.37°,-166.63°,2.08418
07:45,26.80°,76.17°,13.83°,-166.17°,1.97927
07:50,27.98°,75.70°,14.30°,-165.70°,1.88270
07:55,29.14°,75.21°,14.79°,-165.21°,1.79346
08:00,30.31°,74.71°,15.29°,-164.71°,1.71069
08:05,31.47°,74.20°,15.80°,-164.20°,1.63366
08:10,32.63°,73.67°,16.33°,-163.67°,1.56175
08:15,33.79°,73.12°,16.88°,-163.12°,1.49443
08:20,34.94°,72.56°,17.44°,-162.56°,1.43123
08:25,36.09°,71.98°,18.02°,-161.98°,1.37175
08:30,37.24°,71.37°,18.63°,-161.37°,1.31563
08:35,38.38°,70.75°,19.25°,-160.75°,1.26258
08:40,39.52°,70.10°,19.90°,-160.10°,1.21233
