Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:40,-0.77°,103.50°,-13.50°,166.50°,--
05:45,0.57°,103.18°,-13.18°,166.82°,100.61280
05:50,1.62°,102.86°,-12.86°,167.14°,35.42357
05:55,2.71°,102.55°,-12.55°,167.45°,21.09590
06:00,3.84°,102.24°,-12.24°,167.76°,14.89886
06:05,4.98°,101.94°,-11.94°,168.06°,11.46782
06:10,6.14°,101.65°,-11.65°,168.35°,9.29453
06:15,7.31°,101.35°,-11.35°,168.65°,7.80049
06:20,8.48°,101.07°,-11.07°,168.93°,6.71085
06:25,9.65°,100.78°,-10.78°,169.22°,5.88123
06:30,10.83°,100.50°,-10.50°,169.50°,5.22844
06:35,12.01°,100.23°,-10.23°,169.77°,4.70125
06:40,13.19°,99.95°,-9.95°,170.05°,4.26642
06:45,14.38°,99.68°,-9.68°,170.32°,3.90143
06:50,15.56°,99.42°,-9.42°,170.58°,3.59053
06:55,16.75°,99.15°,-9.15°,170.85°,3.32235
07:00,17.94°,98.89°,-8.89°,171.11°,3.08849
07:05,19.13°,98.63°,-8.63°,171.37°,2.88262
07:10,20.32°,98.38°,-8.38°,171.62°,2.69985
07:15,21.52°,98.12°,-8.12°,171.88°,2.53639
07:20,22.71°,97.87°,-7.87°,172.13°,2.38922
07:25,23.91°,97.62°,-7.62°,172.38°,2.25591
07:30,25.10°,97.37°,-7.37°,172.63°,2.13450
07:35,26.30°,97.12°,-7.12°,172.88°,2.02338
07:40,27.50°,96.88°,-6.88°,173.12°,1.92120
07:45,28.70°,96.63°,-6.63°,173.37°,1.82686
07:50,29.89°,96.39°,-6.39°,173.61°,1.73942
07:55,31.09°,96.15°,-6.15°,173.85°,1.65807
08:00,32.29°,95.91°,-5.91°,174.09°,1.58215
08:05,33.50°,95.66°,-5.66°,174.34°,1.51106
08:10,34.70°,95.42°,-5.42°,174.58°,1.44431
08:15,35.90°,95.18°,-5.18°,174.82°,1.38146
08:20,37.10°,94.94°,-4.94°,175.06°,1.32212
08:25,38.31°,94.70°,-4.70°,175.30°,1.26597
08:30,39.51°,94.46°,-4.46°,175.54°,1.21271
08:35,40.71°,94.21°,-4.21°,175.79°,1.16207
08:40,41.92°,93.97°,-3.97°,176.03°,1.11383
08:45,43.12°,93.72°,-3.72°,176.28°,1.06779
08:50,44.33°,93.47°,-3.47°,176.53°,1.02375
08:55,45.53°,93.23°,-3.23°,176.77°,0.98156
09:00,46.74°,92.97°,-2.97°,177.03°,0.94107
09:05,47.95°,92.72°,-2.72°,177.28°,0.90214
09:10,49.15°,92.46°,-2.46°,177.54°,0.86465
09:15,50.36°,92.20°,-2.20°,177.80°,0.82850
09:20,51.57°,91.93°,-1.93°,178.07°,0.79358
09:25,52.77°,91.66°,-1.66°,178.34°,0.75980
09:30,53.98°,91.38°,-1.38°,178.62°,0.72708
09:35,55.19°,91.10°,-1.10°,178.90°,0.69535
09:40,56.39°,90.81°,-0.81°,179.19°,0.66452
09:45,57.60°,90.51°,-0.51°,179.49°,0.63455
09:50,58.81°,90.20°,-0.20°,179.80°,0.60537
09:55,60.02°,89.88°,0.12°,-179.88°,0.57692
10:00,61.23°,89.55°,0.45°,-179.55°,0.54916
10:05,62.43°,89.21°,0.79°,-179.21°,0.52203
10:10,63.64°,88.85°,1.15°,-178.85°,0.49550
10:15,64.85°,88.47°,1.53°,-178.47°,0.46952
10:20,66.06°,88.07°,1.93°,-178.07°,0.44405
10:25,67.26°,87.64°,2.36°,-177.64°,0.41906
10:30,68.47°,87.19°,2.81°,-177.19°,0.39451
10:35,69.68°,86.70°,3.30°,-176.70°,0.37038
10:40,70.88°,86.17°,3.83°,-176.17°,0.34663
10:45,72.09°,85.59°,4.41°,-175.59°,0.32324
10:50,73.29°,84.95°,5.05°,-174.95°,0.30019
10:55,74.49°,84.24°,5.76°,-174.24°,0.27745
11:00,75.69°,83.43°,6.57°,-173.43°,0.25500
11:05,76.89°,82.50°,7.50°,-172.50°,0.23284
11:10,78.09°,81.42°,8.58°,-171.42°,0.21093
11:15,79.28°,80.13°,9.87°,-170.13°,0.18929
11:20,80.47°,78.56°,11.44°,-168.56°,0.16790
11:25,81.65°,76.59°,13.41°,-166.59°,0.14680
11:30,82.82°,74.02°,15.98°,-164.02°,0.12602
11:35,83.97°,70.53°,19.47°,-160.53°,0.10566
11:40,85.09°,65.48°,24.52°,-155.48°,0.08594
11:45,86.15°,57.64°,32.36°,-147.64°,0.06725
11:50,87.10°,44.41°,45.59°,-134.41°,0.05069
11:55,87.77°,21.30°,68.70°,-111.30°,0.03900
12:00,87.88°,-11.09°,101.09°,-78.91°,0.03704
12:05,87.36°,-38.09°,128.09°,-51.91°,0.04608
12:10,86.48°,-54.05°,144.05°,-35.95°,0.06145
12:15,85.45°,-63.29°,153.29°,-26.71°,0.07961
12:20,84.34°,-69.07°,159.07°,-20.93°,0.09905
12:25,83.20°,-72.99°,162.99°,-17.01°,0.11924
12:30,82.04°,-75.82°,165.82°,-14.18°,0.13989
12:35,80.86°,-77.96°,167.96°,-12.04°,0.16089
12:40,79.67°,-79.65°,169.65°,-10.35°,0.18219
12:45,78.48°,-81.02°,171.02°,-8.98°,0.20375
12:50,77.29°,-82.16°,172.16°,-7.84°,0.22556
