Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:35,-0.36°,108.29°,-18.29°,161.71°,--
05:40,0.80°,107.97°,-17.97°,162.03°,71.56973
05:45,1.84°,107.65°,-17.65°,162.35°,31.18920
05:50,2.92°,107.35°,-17.35°,162.65°,19.63644
05:55,4.02°,107.05°,-17.05°,162.95°,14.22971
06:00,5.14°,106.75°,-16.75°,163.25°,11.11486
06:05,6.27°,106.47°,-16.47°,163.53°,9.09439
06:10,7.42°,106.19°,-16.19°,163.81°,7.68293
06:15,8.56°,105.91°,-15.91°,164.09°,6.64156
06:20,9.71°,105.65°,-15.65°,164.35°,5.84180
06:25,10.87°,105.38°,-15.38°,164.62°,5.20828
06:30,12.03°,105.13°,-15.13°,164.87°,4.69391
06:35,13.19°,104.88°,-14.88°,165.12°,4.26780
06:40,14.35°,104.63°,-14.63°,165.37°,3.90885
06:45,15.52°,104.39°,-14.39°,165.61°,3.60218
06:50,16.68°,104.16°,-14.16°,165.84°,3.33698
06:55,17.85°,103.93°,-13.93°,166.07°,3.10521
07:00,19.02°,103.70°,-13.70°,166.30°,2.90080
07:05,20.19°,103.48°,-13.48°,166.52°,2.71905
07:10,21.37°,103.27°,-13.27°,166.73°,2.55626
07:15,22.54°,103.06°,-13.06°,166.94°,2.40952
07:20,23.71°,102.86°,-12.86°,167.14°,2.27646
07:25,24.89°,102.66°,-12.66°,167.34°,2.15516
07:30,26.07°,102.46°,-12.46°,167.54°,2.04405
07:35,27.25°,102.27°,-12.27°,167.73°,1.94181
07:40,28.43°,102.08°,-12.08°,167.92°,1.84736
07:45,29.61°,101.90°,-11.90°,168.10°,1.75976
07:50,30.79°,101.73°,-11.73°,168.27°,1.67824
07:55,31.97°,101.56°,-11.56°,168.44°,1.60211
08:00,33.15°,101.39°,-11.39°,168.61°,1.53082
08:05,34.34°,101.23°,-11.23°,168.77°,1.46385
08:10,35.52°,101.07°,-11.07°,168.93°,1.40077
08:15,36.71°,100.92°,-10.92°,169.08°,1.34122
08:20,37.89°,100.77°,-10.77°,169.23°,1.28485
