Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
06:05,-0.92°,66.15°,23.85°,-156.15°,--
06:10,0.40°,65.83°,24.17°,-155.83°,141.68777
06:15,1.37°,65.51°,24.49°,-155.51°,41.73757
06:20,2.38°,65.17°,24.83°,-155.17°,24.00976
06:25,3.42°,64.83°,25.17°,-154.83°,16.71887
06:30,4.47°,64.48°,25.52°,-154.48°,12.77864
06:35,5.54°,64.11°,25.89°,-154.11°,10.31877
06:40,6.60°,63.74°,26.26°,-153.74°,8.64321
06:45,7.67°,63.35°,26.65°,-153.35°,7.43020
06:50,8.73°,62.95°,27.05°,-152.95°,6.51200
06:55,9.79°,62.54°,27.46°,-152.54°,5.79296
07:00,10.86°,62.12°,27.88°,-152.12°,5.21467
07:05,11.91°,61.69°,28.31°,-151.69°,4.73943
07:10,12.97°,61.24°,28.76°,-151.24°,4.34189
07:15,14.02°,60.78°,29.22°,-150.78°,4.00434
07:20,15.07°,60.31°,29.69°,-150.31°,3.71409
07:25,16.11°,59.82°,30.18°,-149.82°,3.46177
07:30,17.15°,59.32°,30.68°,-149.32°,3.24033
07:35,18.18°,58.80°,31.20°,-148.80°,3.04437
07:40,19.21°,58.27°,31.73°,-148.27°,2.86968
07:45,20.23°,57.72°,32.28°,-147.72°,2.71294
07:50,21.25°,57.15°,32.85°,-147.15°,2.57147
07:55,22.26°,56.57°,33.43°,-146.57°,2.44312
08:00,23.26°,55.97°,34.03°,-145.97°,2.32611
08:05,24.26°,55.35°,34.65°,-145.35°,2.21900
08:10,25.25°,54.71°,35.29°,-144.71°,2.12055
08:15,26.23°,54.05°,35.95°,-144.05°,2.02974
08:20,27.20°,53.37°,36.63°,-143.37°,1.94572
08:25,28.16°,52.67°,37.33°,-142.67°,1.86774
08:30,29.12°,51.95°,38.05°,-141.95°,1.79518
08:35,30.07°,51.20°,38.80°,-141.20°,1.72750
08:40,31.00°,50.43°,39.57°,-140.43°,1.66422
08:45,31.93°,49.63°,40.37°,-139.63°,1.60494
08:50,32.84°,48.81°,41.19°,-138.81°,1.54931
08:55,33.74°,47.97°,42.03°,-137.97°,1.49701
