Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
06:00,-0.86°,67.80°,22.20°,-157.80°,--
06:05,0.46°,67.48°,22.52°,-157.48°,125.68381
06:10,1.44°,67.16°,22.84°,-157.16°,39.78706
06:15,2.47°,66.83°,23.17°,-156.83°,23.20237
06:20,3.52°,66.48°,23.52°,-156.48°,16.25131
06:25,4.59°,66.13°,23.87°,-156.13°,12.46127
06:30,5.66°,65.77°,24.23°,-155.77°,10.08246
06:35,6.74°,65.39°,24.61°,-155.39°,8.45673
06:40,7.82°,65.01°,24.99°,-155.01°,7.27677
06:45,8.91°,64.61°,25.39°,-154.61°,6.38182
06:50,9.99°,64.21°,25.79°,-154.21°,5.67990
06:55,11.06°,63.79°,26.21°,-153.79°,5.11464
07:00,12.14°,63.36°,26.64°,-153.36°,4.64961
07:05,13.21°,62.92°,27.08°,-152.92°,4.26024
07:10,14.28°,62.46°,27.54°,-152.46°,3.92936
07:15,15.34°,62.00°,28.00°,-152.00°,3.64462
07:20,16.40°,61.51°,28.49°,-151.51°,3.39691
07:25,17.46°,61.02°,28.98°,-151.02°,3.17938
07:30,18.51°,60.51°,29.49°,-150.51°,2.98677
07:35,19.56°,59.98°,30.02°,-149.98°,2.81496
07:40,20.60°,59.44°,30.56°,-149.44°,2.66070
07:45,21.63°,58.88°,31.12°,-148.88°,2.52141
07:50,22.66°,58.30°,31.70°,-148.30°,2.39495
07:55,23.69°,57.71°,32.29°,-147.71°,2.27962
08:00,24.70°,57.10°,32.90°,-147.10°,2.17396
08:05,25.71°,56.46°,33.54°,-146.46°,2.07681
08:10,26.71°,55.81°,34.19°,-145.81°,1.98714
08:15,27.71°,55.14°,34.86°,-145.14°,1.90412
08:20,28.69°,54.45°,35.55°,-144.45°,1.82703
08:25,29.67°,53.73°,36.27°,-143.73°,1.75525
08:30,30.64°,52.99°,37.01°,-142.99°,1.68825
08:35,31.60°,52.23°,37.77°,-142.23°,1.62557
08:40,32.55°,51.44°,38.56°,-141.44°,1.56681
08:45,33.49°,50.63°,39.37°,-140.63°,1.51162
08:50,34.41°,49.79°,40.21°,-139.79°,1.45970
08:55,35.33°,48.92°,41.08°,-138.92°,1.41078
09:00,36.23°,48.02°,41.98°,-138.02°,1.36463
09:05,37.12°,47.10°,42.90°,-137.10°,1.32104
09:10,38.00°,46.14°,43.86°,-136.14°,1.27982
09:15,38.87°,45.15°,44.85°,-135.15°,1.24082
09:20,39.71°,44.13°,45.87°,-134.13°,1.20389
09:25,40.55°,43.07°,46.93°,-133.07°,1.16891
09:30,41.36°,41.98°,48.02°,-131.98°,1.13575
09:35,42.16°,40.85°,49.15°,-130.85°,1.10432
09:40,42.94°,39.68°,50.32°,-129.68°,1.07453
09:45,43.70°,38.48°,51.52°,-128.48°,1.04630
09:50,44.44°,37.23°,52.77°,-127.23°,1.01957
09:55,45.16°,35.95°,54.05°,-125.95°,0.99426
10:00,45.86°,34.63°,55.37°,-124.63°,0.97034
10:05,46.54°,33.26°,56.74°,-123.26°,0.94774
10:10,47.19°,31.86°,58.14°,-121.86°,0.92644
10:15,47.81°,30.41°,59.59°,-120.41°,0.90639
10:20,48.41°,28.92°,61.08°,-118.92°,0.88756
