Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:45,-0.65°,96.62°,-6.62°,173.38°,--
05:50,0.67°,96.30°,-6.30°,173.70°,85.73676
05:55,1.74°,95.98°,-5.98°,174.02°,32.84743
06:00,2.87°,95.67°,-5.67°,174.33°,19.96836
06:05,4.02°,95.35°,-5.35°,174.65°,14.23860
06:10,5.19°,95.04°,-5.04°,174.96°,11.02001
06:15,6.36°,94.73°,-4.73°,175.27°,8.96616
06:20,7.55°,94.42°,-4.42°,175.58°,7.54538
06:25,8.74°,94.12°,-4.12°,175.88°,6.50477
06:30,9.93°,93.81°,-3.81°,176.19°,5.70990
06:35,11.13°,93.50°,-3.50°,176.50°,5.08284
06:40,12.33°,93.20°,-3.20°,176.80°,4.57536
06:45,13.53°,92.89°,-2.89°,177.11°,4.15604
06:50,14.73°,92.59°,-2.59°,177.41°,3.80353
06:55,15.93°,92.28°,-2.28°,177.72°,3.50287
07:00,17.14°,91.97°,-1.97°,178.03°,3.24322
07:05,18.34°,91.66°,-1.66°,178.34°,3.01656
07:10,19.55°,91.36°,-1.36°,178.64°,2.81684
07:15,20.75°,91.04°,-1.04°,178.96°,2.63939
07:20,21.96°,90.73°,-0.73°,179.27°,2.48055
07:25,23.16°,90.42°,-0.42°,179.58°,2.33744
07:30,24.37°,90.10°,-0.10°,179.90°,2.20773
07:35,25.57°,89.78°,0.22°,-179.78°,2.08953
07:40,26.78°,89.45°,0.55°,-179.45°,1.98127
07:45,27.99°,89.13°,0.87°,-179.13°,1.88169
07:50,29.19°,88.79°,1.21°,-178.79°,1.78969
07:55,30.40°,88.46°,1.54°,-178.46°,1.70438
08:00,31.61°,88.11°,1.89°,-178.11°,1.62499
08:05,32.81°,87.77°,2.23°,-177.77°,1.55087
08:10,34.02°,87.41°,2.59°,-177.41°,1.48144
08:15,35.23°,87.05°,2.95°,-177.05°,1.41623
08:20,36.43°,86.69°,3.31°,-176.69°,1.35481
08:25,37.64°,86.31°,3.69°,-176.31°,1.29682
08:30,38.84°,85.93°,4.07°,-175.93°,1.24192
08:35,40.05°,85.53°,4.47°,-175.53°,1.18984
08:40,41.25°,85.13°,4.87°,-175.13°,1.14033
08:45,42.45°,84.71°,5.29°,-174.71°,1.09316
08:50,43.65°,84.28°,5.72°,-174.28°,1.04814
08:55,44.85°,83.84°,6.16°,-173.84°,1.00509
09:00,46.05°,83.38°,6.62°,-173.38°,0.96384
09:05,47.25°,82.91°,7.09°,-172.91°,0.92427
09:10,48.45°,82.42°,7.58°,-172.42°,0.88623
09:15,49.65°,81.91°,8.09°,-171.91°,0.84962
09:20,50.84°,81.38°,8.62°,-171.38°,0.81433
09:25,52.04°,80.82°,9.18°,-170.82°,0.78027
09:30,53.23°,80.24°,9.76°,-170.24°,0.74735
09:35,54.42°,79.64°,10.36°,-169.64°,0.71549
09:40,55.60°,79.00°,11.00°,-169.00°,0.68462
09:45,56.79°,78.32°,11.68°,-168.32°,0.65469
09:50,57.97°,77.61°,12.39°,-167.61°,0.62562
09:55,59.15°,76.85°,13.15°,-166.85°,0.59737
10:00,60.32°,76.04°,13.96°,-166.04°,0.56990
10:05,61.49°,75.18°,14.82°,-165.18°,0.54315
10:10,62.66°,74.26°,15.74°,-164.26°,0.51710
10:15,63.82°,73.27°,16.73°,-163.27°,0.49171
10:20,64.97°,72.21°,17.79°,-162.21°,0.46695
10:25,66.12°,71.05°,18.95°,-161.05°,0.44280
10:30,67.25°,69.79°,20.21°,-159.79°,0.41925
10:35,68.38°,68.41°,21.59°,-158.41°,0.39628
10:40,69.50°,66.90°,23.10°,-156.90°,0.37389
10:45,70.60°,65.23°,24.77°,-155.23°,0.35208
10:50,71.69°,63.37°,26.63°,-153.37°,0.33086
10:55,72.76°,61.31°,28.69°,-151.31°,0.31027
11:00,73.81°,58.98°,31.02°,-148.98°,0.29033
11:05,74.83°,56.36°,33.64°,-146.36°,0.27111
11:10,75.82°,53.39°,36.61°,-143.39°,0.25268
11:15,76.77°,49.99°,40.01°,-139.99°,0.23514
11:20,77.67°,46.12°,43.88°,-136.12°,0.21865
11:25,78.50°,41.67°,48.33°,-131.67°,0.20337
11:30,79.27°,36.58°,53.42°,-126.58°,0.18954
11:35,79.94°,30.77°,59.23°,-120.77°,0.17744
11:40,80.50°,24.24°,65.76°,-114.24°,0.16740
11:45,80.92°,17.00°,73.00°,-107.00°,0.15976
11:50,81.20°,9.20°,80.80°,-99.20°,0.15486
11:55,81.31°,1.05°,88.95°,-91.05°,0.15292
12:00,81.24°,-7.13°,97.13°,-82.87°,0.15407
12:05,81.01°,-15.05°,105.05°,-74.95°,0.15824
12:10,80.62°,-22.45°,112.45°,-67.55°,0.16520
12:15,80.09°,-29.17°,119.17°,-60.83°,0.17466
12:20,79.45°,-35.16°,125.16°,-54.84°,0.18627
12:25,78.71°,-40.43°,130.43°,-49.57°,0.19968
12:30,77.89°,-45.03°,135.03°,-44.97°,0.21461
12:35,77.00°,-49.05°,139.05°,-40.95°,0.23082
12:40,76.07°,-52.56°,142.56°,-37.44°,0.24810
12:45,75.09°,-55.64°,145.64°,-34.36°,0.26631
12:50,74.07°,-58.34°,148.34°,-31.66°,0.28534
12:55,73.03°,-60.74°,150.74°,-29.26°,0.30510
13:00,71.97°,-62.87°,152.87°,-27.13°,0.32553
13:05,70.88°,-64.77°,154.77°,-25.23°,0.34659
13:10,69.78°,-66.49°,156.49°,-23.51°,0.36825
13:15,68.67°,-68.04°,158.04°,-21.96°,0.39049
13:20,67.54°,-69.45°,159.45°,-20.55°,0.41332
13:25,66.41°,-70.74°,160.74°,-19.26°,0.43672
13:30,65.26°,-71.92°,161.92°,-18.08°,0.46071
13:35,64.11°,-73.01°,163.01°,-16.99°,0.48531
13:40,62.95°,-74.02°,164.02°,-15.98°,0.51054
13:45,61.79°,-74.96°,164.96°,-15.04°,0.53642
13:50,60.62°,-75.83°,165.83°,-14.17°,0.56299
13:55,59.45°,-76.65°,166.65°,-13.35°,0.59027
14:00,58.27°,-77.42°,167.42°,-12.58°,0.61832
14:05,57.09°,-78.14°,168.14°,-11.86°,0.64717
14:10,55.91°,-78.83°,168.83°,-11.17°,0.67687
14:15,54.72°,-79.47°,169.47°,-10.53°,0.70750
14:20,53.53°,-80.09°,170.09°,-9.91°,0.73910
14:25,52.34°,-80.68°,170.68°,-9.32°,0.77174
14:30,51.15°,-81.24°,171.24°,-8.76°,0.80550
14:35,49.95°,-81.78°,171.78°,-8.22°,0.84047
14:40,48.76°,-82.29°,172.29°,-7.71°,0.87673
14:45,47.56°,-82.79°,172.79°,-7.21°,0.91439
14:50,46.36°,-83.26°,173.26°,-6.74°,0.95356
14:55,45.16°,-83.72°,173.72°,-6.28°,0.99436
15:00,43.96°,-84.17°,174.17°,-5.83°,1.03694
15:05,42.76°,-84.60°,174.60°,-5.40°,1.08144
15:10,41.56°,-85.02°,175.02°,-4.98°,1.12804
15:15,40.35°,-85.43°,175.43°,-4.57°,1.17694
