Date,Solar Noon,,Sunrise,,Sunset,,Day Length,,Civil Twilight,,Nautical Twilight,,Astron. Twilight,
,Time,Altitude,Time,Azimuth,Time,Azimuth,Hours,Change,Dawn,Dusk,Dawn,Dusk,Dawn,Dusk
01 Jan,11:47,81.82°,05:17,114.11°,18:17,-114.11°,12:59:16,00:00:00,04:54,18:40,04:26,19:08,03:57,19:37
02 Jan,11:47,81.91°,05:18,114.02°,18:17,-114.02°,12:59:03,-00:00:13,04:54,18:41,04:27,19:08,03:58,19:37
03 Jan,11:48,82.00°,05:19,113.92°,18:17,-113.92°,12:58:48,-00:00:14,04:55,18:41,04:27,19:09,03:59,19:37
04 Jan,11:48,82.10°,05:19,113.82°,18:18,-113.82°,12:58:33,-00:00:15,04:56,18:41,04:28,19:09,03:59,19:37
05 Jan,11:49,82.21°,05:20,113.71°,18:18,-113.71°,12:58:17,-00:00:16,04:56,18:42,04:29,19:09,04:00,19:38
06 Jan,11:49,82.32°,05:20,113.59°,18:18,-113.59°,12:57:59,-00:00:18,04:57,18:42,04:29,19:10,04:01,19:38
07 Jan,11:50,82.44°,05:21,113.46°,18:19,-113.46°,12:57:40,-00:00:19,04:58,18:42,04:30,19:10,04:02,19:38
08 Jan,11:50,82.57°,05:22,113.33°,18:19,-113.33°,12:57:20,-00:00:20,04:58,18:42,04:31,19:10,04:02,19:38
09 Jan,11:51,82.71°,05:22,113.18°,18:19,-113.18°,12:57:00,-00:00:21,04:59,18:43,04:31,19:10,04:03,19:38
10 Jan,11:51,82.85°,05:23,113.03°,18:19,-113.03°,12:56:38,-00:00:22,04:59,18:43,04:32,19:10,04:04,19:39
11 Jan,11:52,83.00°,05:23,112.88°,18:20,-112.88°,12:56:15,-00:00:23,05:00,18:43,04:33,19:11,04:04,19:39
12 Jan,11:52,83.16°,05:24,112.71°,18:20,-112.71°,12:55:51,-00:00:24,05:01,18:43,04:33,19:11,04:05,19:39
13 Jan,11:52,83.33°,05:25,112.54°,18:20,-112.54°,12:55:26,-00:00:25,05:01,18:43,04:34,19:11,04:06,19:39
14 Jan,11:53,83.50°,05:25,112.36°,18:20,-112.36°,12:55:00,-00:00:26,05:02,18:44,04:35,19:11,04:07,19:39
15 Jan,11:53,83.68°,05:26,112.17°,18:20,-112.17°,12:54:33,-00:00:27,05:03,18:44,04:35,19:11,04:07,19:39
16 Jan,11:54,83.86°,05:26,111.98°,18:21,-111.98°,12:54:05,-00:00:28,05:03,18:44,04:36,19:11,04:08,19:39
17 Jan,11:54,84.05°,05:27,111.78°,18:21,-111.78°,12:53:36,-00:00:29,05:04,18:44,04:37,19:11,04:09,19:39
18 Jan,11:54,84.25°,05:28,111.57°,18:21,-111.57°,12:53:07,-00:00:30,05:05,18:44,04:37,19:11,04:10,19:39
19 Jan,11:55,84.46°,05:28,111.36°,18:21,-111.36°,12:52:36,-00:00:31,05:05,18:44,04:38,19:11,04:10,19:39
20 Jan,11:55,84.67°,05:29,111.14°,18:21,-111.14°,12:52:05,-00:00:31,05:06,18:44,04:39,19:11,04:11,19:39
21 Jan,11:55,84.89°,05:29,110.91°,18:21,-110.91°,12:51:32,-00:00:32,05:06,18:44,04:39,19:11,04:12,19:39
22 Jan,11:55,85.11°,05:30,110.68°,18:21,-110.68°,12:50:59,-00:00:33,05:07,18:44,04:40,19:11,04:12,19:39
23 Jan,11:56,85.34°,05:31,110.44°,18:21,-110.44°,12:50:25,-00:00:34,05:08,18:44,04:41,19:11,04:13,19:38
24 Jan,11:56,85.58°,05:31,110.19°,18:21,-110.19°,12:49:51,-00:00:35,05:08,18:44,04:41,19:11,04:14,19:38
25 Jan,11:56,85.82°,05:32,109.94°,18:21,-109.94°,12:49:15,-00:00:35,05:09,18:44,04:42,19:11,04:15,19:38
26 Jan,11:57,86.07°,05:32,109.68°,18:21,-109.68°,12:48:39,-00:00:36,05:09,18:44,04:43,19:11,04:15,19:38
27 Jan,11:57,86.32°,05:33,109.42°,18:21,-109.42°,12:48:02,-00:00:37,05:10,18:44,04:43,19:10,04:16,19:38
28 Jan,11:57,86.58°,05:33,109.15°,18:21,-109.15°,12:47:25,-00:00:38,05:11,18:43,04:44,19:10,04:17,19:37
29 Jan,11:57,86.85°,05:34,108.87°,18:21,-108.87°,12:46:47,-00:00:38,05:11,18:43,04:44,19:10,04:17,19:37
30 Jan,11:57,87.12°,05:34,108.59°,18:20,-108.59°,12:46:08,-00:00:39,05:12,18:43,04:45,19:10,04:18,19:37
31 Jan,11:58,87.39°,05:35,108.30°,18:20,-108.30°,12:45:29,-00:00:39,05:12,18:43,04:46,19:09,04:19,19:36
01 Feb,11:58,87.67°,05:35,108.01°,18:20,-108.01°,12:44:49,-00:00:40,05:13,18:43,04:46,19:09,04:19,19:36
02 Feb,11:58,87.96°,05:36,107.72°,18:20,-107.72°,12:44:08,-00:00:41,05:13,18:42,04:47,19:09,04:20,19:36
03 Feb,11:58,88.25°,05:36,107.41°,18:20,-107.41°,12:43:27,-00:00:41,05:14,18:42,04:47,19:09,04:20,19:35
04 Feb,11:58,88.55°,05:37,107.11°,18:19,-107.11°,12:42:45,-00:00:42,05:14,18:42,04:48,19:08,04:21,19:35
05 Feb,11:58,88.85°,05:37,106.79°,18:19,-106.79°,12:42:03,-00:00:42,05:15,18:42,04:48,19:08,04:22,19:35
06 Feb,11:58,89.15°,05:38,106.48°,18:19,-106.48°,12:41:20,-00:00:43,05:15,18:41,04:49,19:08,04:22,19:34
07 Feb,11:58,89.46°,05:38,106.16°,18:19,-106.16°,12:40:37,-00:00:43,05:16,18:41,04:49,19:07,04:23,19:34
08 Feb,11:58,89.77°,05:38,105.83°,18:18,-105.83°,12:39:53,-00:00:44,05:16,18:41,04:50,19:07,04:23,19:33
09 Feb,11:58,89.91°,05:39,105.50°,18:18,-105.50°,12:39:09,-00:00:44,05:17,18:40,04:50,19:06,04:24,19:33
10 Feb,11:58,89.59°,05:39,105.17°,18:18,-105.17°,12:38:25,-00:00:45,05:17,18:40,04:51,19:06,04:25,19:32
11 Feb,11:58,89.26°,05:40,104.83°,18:17,-104.83°,12:37:40,-00:00:45,05:17,18:39,04:51,19:05,04:25,19:32
12 Feb,11:58,88.93°,05:40,104.49°,18:17,-104.49°,12:36:54,-00:00:45,05:18,18:39,04:52,19:05,04:26,19:31
13 Feb,11:58,88.60°,05:40,104.14°,18:16,-104.14°,12:36:09,-00:00:46,05:18,18:39,04:52,19:05,04:26,19:31
14 Feb,11:58,88.26°,05:41,103.79°,18:16,-103.79°,12:35:23,-00:00:46,05:19,18:38,04:53,19:04,04:27,19:30
15 Feb,11:58,87.92°,05:41,103.44°,18:16,-103.44°,12:34:36,-00:00:46,05:19,18:38,04:53,19:03,04:27,19:30
16 Feb,11:58,87.57°,05:41,103.08°,18:15,-103.08°,12:33:50,-00:00:47,05:19,18:37,04:54,19:03,04:28,19:29
17 Feb,11:58,87.23°,05:42,102.72°,18:15,-102.72°,12:33:03,-00:00:47,05:20,18:37,04:54,19:02,04:28,19:28
18 Feb,11:58,86.88°,05:42,102.35°,18:14,-102.35°,12:32:15,-00:00:47,05:20,18:36,04:54,19:02,04:28,19:28
19 Feb,11:58,86.52°,05:42,101.99°,18:14,-101.99°,12:31:28,-00:00:48,05:20,18:36,04:55,19:01,04:29,19:27
20 Feb,11:58,86.16°,05:43,101.62°,18:13,-101.62°,12:30:40,-00:00:48,05:21,18:35,04:55,19:01,04:29,19:27
21 Feb,11:58,85.80°,05:43,101.24°,18:13,-101.24°,12:29:52,-00:00:48,05:21,18:35,04:55,19:00,04:30,19:26
22 Feb,11:58,85.44°,05:43,100.87°,18:12,-100.87°,12:29:04,-00:00:48,05:21,18:34,04:56,19:00,04:30,19:25
23 Feb,11:58,85.08°,05:43,100.49°,18:12,-100.49°,12:28:15,-00:00:48,05:22,18:33,04:56,18:59,04:30,19:25
24 Feb,11:57,84.71°,05:44,100.11°,18:11,-100.11°,12:27:27,-00:00:49,05:22,18:33,04:56,18:58,04:31,19:24
25 Feb,11:57,84.34°,05:44,99.72°,18:11,-99.72°,12:26:38,-00:00:49,05:22,18:32,04:57,18:58,04:31,19:23
26 Feb,11:57,83.97°,05:44,99.34°,18:10,-99.34°,12:25:49,-00:00:49,05:22,18:32,04:57,18:57,04:32,19:23
27 Feb,11:57,83.59°,05:44,98.95°,18:09,-98.95°,12:24:59,-00:00:49,05:23,18:31,04:57,18:56,04:32,19:22
28 Feb,11:57,83.22°,05:45,98.56°,18:09,-98.56°,12:24:10,-00:00:49,05:23,18:30,04:58,18:56,04:32,19:21
01 Mar,11:57,82.84°,05:45,98.17°,18:08,-98.17°,12:23:20,-00:00:50,05:23,18:30,04:58,18:55,04:33,19:20
02 Mar,11:56,82.46°,05:45,97.77°,18:08,-97.77°,12:22:31,-00:00:50,05:23,18:29,04:58,18:54,04:33,19:20
03 Mar,11:56,82.08°,05:45,97.38°,18:07,-97.38°,12:21:41,-00:00:50,05:24,18:29,04:58,18:54,04:33,19:19
04 Mar,11:56,81.69°,05:45,96.98°,18:06,-96.98°,12:20:51,-00:00:50,05:24,18:28,04:59,18:53,04:33,19:18
05 Mar,11:56,81.31°,05:46,96.58°,18:06,-96.58°,12:20:01,-00:00:50,05:24,18:27,04:59,18:52,04:34,19:18
06 Mar,11:55,80.92°,05:46,96.18°,18:05,-96.18°,12:19:11,-00:00:50,05:24,18:27,04:59,18:52,04:34,19:17
07 Mar,11:55,80.53°,05:46,95.78°,18:04,-95.78°,12:18:21,-00:00:50,05:24,18:26,04:59,18:51,04:34,19:16
08 Mar,11:55,80.14°,05:46,95.38°,18:04,-95.38°,12:17:31,-00:00:50,05:25,18:25,05:00,18:50,04:34,19:15
