Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:50,-1.02°,77.11°,12.89°,-167.11°,--
05:55,0.39°,76.79°,13.21°,-166.79°,145.97974
06:00,1.43°,76.47°,13.53°,-166.47°,40.13325
06:05,2.51°,76.14°,13.86°,-166.14°,22.78472
06:10,3.63°,75.81°,14.19°,-165.81°,15.77341
06:15,4.76°,75.47°,14.53°,-165.47°,12.01424
06:20,5.90°,75.12°,14.88°,-165.12°,9.67743
06:25,7.05°,74.76°,15.24°,-164.76°,8.09066
06:30,8.20°,74.40°,15.60°,-164.40°,6.94376
06:35,9.35°,74.03°,15.97°,-164.03°,6.07644
06:40,10.50°,73.65°,16.35°,-163.65°,5.39762
06:45,11.65°,73.27°,16.73°,-163.27°,4.85179
06:50,12.80°,72.87°,17.13°,-162.87°,4.40321
06:55,13.94°,72.47°,17.53°,-162.47°,4.02788
07:00,15.09°,72.05°,17.95°,-162.05°,3.70905
07:05,16.23°,71.62°,18.38°,-161.62°,3.43472
07:10,17.37°,71.19°,18.81°,-161.19°,3.19606
07:15,18.51°,70.74°,19.26°,-160.74°,2.98642
07:20,19.65°,70.28°,19.72°,-160.28°,2.80071
07:25,20.78°,69.81°,20.19°,-159.81°,2.63496
07:30,21.91°,69.33°,20.67°,-159.33°,2.48604
07:35,23.04°,68.83°,21.17°,-158.83°,2.35143
07:40,24.16°,68.31°,21.69°,-158.31°,2.22909
07:45,25.28°,67.79°,22.21°,-157.79°,2.11738
07:50,26.40°,67.24°,22.76°,-157.24°,2.01490
07:55,27.51°,66.68°,23.32°,-156.68°,1.92051
08:00,28.61°,66.10°,23.90°,-156.10°,1.83324
08:05,29.71°,65.51°,24.49°,-155.51°,1.75230
08:10,30.81°,64.89°,25.11°,-154.89°,1.67697
08:15,31.90°,64.26°,25.74°,-154.26°,1.60667
08:20,32.98°,63.60°,26.40°,-153.60°,1.54089
08:25,34.06°,62.92°,27.08°,-152.92°,1.47917
08:30,35.13°,62.22°,27.78°,-152.22°,1.42115
08:35,36.20°,61.49°,28.51°,-151.49°,1.36649
08:40,37.25°,60.73°,29.27°,-150.73°,1.31488
08:45,38.30°,59.95°,30.05°,-149.95°,1.26608
08:50,39.34°,59.14°,30.86°,-149.14°,1.21985
08:55,40.38°,58.29°,31.71°,-148.29°,1.17600
09:00,41.40°,57.42°,32.58°,-147.42°,1.13434
09:05,42.41°,56.50°,33.50°,-146.50°,1.09473
09:10,43.41°,55.56°,34.44°,-145.56°,1.05702
09:15,44.40°,54.57°,35.43°,-144.57°,1.02109
09:20,45.38°,53.54°,36.46°,-143.54°,0.98683
09:25,46.34°,52.48°,37.52°,-142.48°,0.95414
09:30,47.30°,51.36°,38.64°,-141.36°,0.92293
09:35,48.23°,50.20°,39.80°,-140.20°,0.89314
09:40,49.15°,48.99°,41.01°,-138.99°,0.86469
09:45,50.05°,47.73°,42.27°,-137.73°,0.83752
09:50,50.94°,46.41°,43.59°,-136.41°,0.81160
09:55,51.80°,45.03°,44.97°,-135.03°,0.78686
10:00,52.65°,43.60°,46.40°,-133.60°,0.76329
10:05,53.47°,42.10°,47.90°,-132.10°,0.74084
10:10,54.26°,40.54°,49.46°,-130.54°,0.71950
10:15,55.04°,38.91°,51.09°,-128.91°,0.69925
10:20,55.78°,37.21°,52.79°,-127.21°,0.68007
10:25,56.50°,35.44°,54.56°,-125.44°,0.66196
10:30,57.18°,33.59°,56.41°,-123.59°,0.64492
10:35,57.83°,31.68°,58.32°,-121.68°,0.62893
10:40,58.45°,29.69°,60.31°,-119.69°,0.61402
10:45,59.03°,27.62°,62.38°,-117.62°,0.60019
10:50,59.57°,25.48°,64.52°,-115.48°,0.58744
10:55,60.07°,23.27°,66.73°,-113.27°,0.57579
11:00,60.52°,20.99°,69.01°,-110.99°,0.56527
11:05,60.93°,18.64°,71.36°,-108.64°,0.55588
11:10,61.29°,16.23°,73.77°,-106.23°,0.54764
