Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:35,-1.07°,106.93°,-16.93°,163.07°,--
05:40,0.34°,106.61°,-16.61°,163.39°,167.33046
05:45,1.36°,106.29°,-16.29°,163.71°,42.15900
05:50,2.43°,105.98°,-15.98°,164.02°,23.56987
05:55,3.53°,105.67°,-15.67°,164.33°,16.19753
06:00,4.66°,105.38°,-15.38°,164.62°,12.27889
06:05,5.79°,105.08°,-15.08°,164.92°,9.85539
06:10,6.94°,104.80°,-14.80°,165.20°,8.21513
06:15,8.09°,104.52°,-14.52°,165.48°,7.03245
06:20,9.25°,104.24°,-14.24°,165.76°,6.13969
06:25,10.41°,103.97°,-13.97°,166.03°,5.44193
06:30,11.58°,103.71°,-13.71°,166.29°,4.88147
06:35,12.74°,103.45°,-13.45°,166.55°,4.42124
06:40,13.91°,103.19°,-13.19°,166.81°,4.03639
06:45,15.09°,102.94°,-12.94°,167.06°,3.70962
06:50,16.26°,102.70°,-12.70°,167.30°,3.42853
06:55,17.44°,102.46°,-12.46°,167.54°,3.18402
07:00,18.61°,102.22°,-12.22°,167.78°,2.96924
07:05,19.79°,101.99°,-11.99°,168.01°,2.77893
07:10,20.97°,101.76°,-11.76°,168.24°,2.60903
07:15,22.15°,101.54°,-11.54°,168.46°,2.45630
07:20,23.33°,101.32°,-11.32°,168.68°,2.31817
07:25,24.52°,101.10°,-11.10°,168.90°,2.19253
07:30,25.70°,100.89°,-10.89°,169.11°,2.07769
07:35,26.89°,100.68°,-10.68°,169.32°,1.97222
07:40,28.07°,100.48°,-10.48°,169.52°,1.87495
07:45,29.26°,100.28°,-10.28°,169.72°,1.78488
07:50,30.45°,100.08°,-10.08°,169.92°,1.70118
07:55,31.64°,99.88°,-9.88°,170.12°,1.62313
08:00,32.83°,99.69°,-9.69°,170.31°,1.55012
08:05,34.02°,99.50°,-9.50°,170.50°,1.48162
08:10,35.21°,99.32°,-9.32°,170.68°,1.41718
08:15,36.40°,99.14°,-9.14°,170.86°,1.35639
08:20,37.59°,98.96°,-8.96°,171.04°,1.29891
08:25,38.78°,98.79°,-8.79°,171.21°,1.24443
08:30,39.98°,98.62°,-8.62°,171.38°,1.19267
08:35,41.17°,98.45°,-8.45°,171.55°,1.14340
08:40,42.37°,98.29°,-8.29°,171.71°,1.09640
08:45,43.56°,98.13°,-8.13°,171.87°,1.05149
08:50,44.76°,97.97°,-7.97°,172.03°,1.00848
08:55,45.95°,97.82°,-7.82°,172.18°,0.96723
09:00,47.15°,97.67°,-7.67°,172.33°,0.92761
09:05,48.35°,97.53°,-7.53°,172.47°,0.88947
09:10,49.55°,97.39°,-7.39°,172.61°,0.85271
09:15,50.74°,97.25°,-7.25°,172.75°,0.81723
09:20,51.94°,97.12°,-7.12°,172.88°,0.78293
09:25,53.14°,97.00°,-7.00°,173.00°,0.74973
09:30,54.34°,96.87°,-6.87°,173.13°,0.71754
09:35,55.54°,96.76°,-6.76°,173.24°,0.68630
09:40,56.74°,96.65°,-6.65°,173.35°,0.65593
09:45,57.94°,96.54°,-6.54°,173.46°,0.62638
09:50,59.14°,96.45°,-6.45°,173.55°,0.59759
09:55,60.34°,96.36°,-6.36°,173.64°,0.56951
10:00,61.54°,96.28°,-6.28°,173.72°,0.54208
10:05,62.74°,96.21°,-6.21°,173.79°,0.51527
10:10,63.94°,96.14°,-6.14°,173.86°,0.48903
10:15,65.14°,96.09°,-6.09°,173.91°,0.46331
10:20,66.34°,96.06°,-6.06°,173.94°,0.43809
10:25,67.54°,96.04°,-6.04°,173.96°,0.41333
10:30,68.74°,96.03°,-6.03°,173.97°,0.38899
10:35,69.95°,96.05°,-6.05°,173.95°,0.36504
10:40,71.15°,96.09°,-6.09°,173.91°,0.34146
10:45,72.35°,96.16°,-6.16°,173.84°,0.31822
10:50,73.55°,96.27°,-6.27°,173.73°,0.29529
10:55,74.75°,96.42°,-6.42°,173.58°,0.27264
11:00,75.95°,96.62°,-6.62°,173.38°,0.25026
11:05,77.15°,96.90°,-6.90°,173.10°,0.22813
11:10,78.35°,97.26°,-7.26°,172.74°,0.20622
11:15,79.55°,97.75°,-7.75°,172.25°,0.18452
11:20,80.74°,98.41°,-8.41°,171.59°,0.16301
11:25,81.94°,99.31°,-9.31°,170.69°,0.14170
11:30,83.13°,100.58°,-10.58°,169.42°,0.12057
11:35,84.31°,102.45°,-12.45°,167.55°,0.09966
11:40,85.48°,105.38°,-15.38°,164.62°,0.07904
11:45,86.63°,110.46°,-20.46°,159.54°,0.05886
11:50,87.73°,120.75°,-30.75°,149.25°,0.03971
11:55,88.62°,146.91°,-56.91°,123.09°,0.02407
12:00,88.76°,-158.75°,-111.25°,68.75°,0.02162
12:05,87.98°,-125.10°,-144.90°,35.10°,0.03523
12:10,86.92°,-112.36°,-157.64°,22.36°,0.05388
12:15,85.77°,-106.40°,-163.60°,16.40°,0.07389
