Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:20,0.16°,113.89°,-23.89°,156.11°,361.67439
05:25,1.11°,113.57°,-23.57°,156.43°,51.39498
05:30,2.13°,113.26°,-23.26°,156.74°,26.92590
05:35,3.17°,112.96°,-22.96°,157.04°,18.02974
05:40,4.24°,112.67°,-22.67°,157.33°,13.47561
05:45,5.33°,112.38°,-22.38°,157.62°,10.72032
05:50,6.42°,112.11°,-22.11°,157.89°,8.88036
05:55,7.53°,111.84°,-21.84°,158.16°,7.56724
06:00,8.64°,111.59°,-21.59°,158.41°,6.58364
06:05,9.75°,111.34°,-21.34°,158.66°,5.81953
06:10,10.87°,111.09°,-21.09°,158.91°,5.20880
06:15,11.99°,110.86°,-20.86°,159.14°,4.70937
06:20,13.11°,110.64°,-20.64°,159.36°,4.29322
06:25,14.24°,110.42°,-20.42°,159.58°,3.94096
06:30,15.37°,110.21°,-20.21°,159.79°,3.63879
06:35,16.50°,110.01°,-20.01°,159.99°,3.37658
06:40,17.63°,109.81°,-19.81°,160.19°,3.14677
06:45,18.76°,109.63°,-19.63°,160.37°,2.94358
06:50,19.90°,109.45°,-19.45°,160.55°,2.76252
06:55,21.04°,109.28°,-19.28°,160.72°,2.60006
07:00,22.18°,109.11°,-19.11°,160.89°,2.45338
07:05,23.32°,108.96°,-18.96°,161.04°,2.32019
07:10,24.46°,108.81°,-18.81°,161.19°,2.19864
07:15,25.60°,108.67°,-18.67°,161.33°,2.08718
07:20,26.74°,108.54°,-18.54°,161.46°,1.98454
07:25,27.89°,108.42°,-18.42°,161.58°,1.88964
07:30,29.03°,108.30°,-18.30°,161.70°,1.80158
07:35,30.18°,108.20°,-18.20°,161.80°,1.71959
07:40,31.33°,108.10°,-18.10°,161.90°,1.64301
07:45,32.47°,108.01°,-18.01°,161.99°,1.57126
07:50,33.62°,107.94°,-17.94°,162.06°,1.50385
07:55,34.77°,107.87°,-17.87°,162.13°,1.44036
08:00,35.92°,107.81°,-17.81°,162.19°,1.38042
08:05,37.07°,107.76°,-17.76°,162.24°,1.32368
08:10,38.22°,107.73°,-17.73°,162.27°,1.26987
08:15,39.37°,107.70°,-17.70°,162.30°,1.21872
08:20,40.52°,107.69°,-17.69°,162.31°,1.17000
08:25,41.67°,107.69°,-17.69°,162.31°,1.12353
08:30,42.82°,107.70°,-17.70°,162.30°,1.07910
08:35,43.97°,107.73°,-17.73°,162.27°,1.03656
08:40,45.12°,107.77°,-17.77°,162.23°,0.99576
08:45,46.27°,107.83°,-17.83°,162.17°,0.95657
08:50,47.42°,107.90°,-17.90°,162.10°,0.91887
