Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
06:00,-1.12°,67.42°,22.58°,-157.42°,--
06:05,0.27°,67.11°,22.89°,-157.11°,212.07437
06:10,1.24°,66.79°,23.21°,-156.79°,46.22571
06:15,2.26°,66.45°,23.55°,-156.45°,25.37344
06:20,3.30°,66.11°,23.89°,-156.11°,17.32859
06:25,4.36°,65.76°,24.24°,-155.76°,13.10435
06:30,5.43°,65.40°,24.60°,-155.40°,10.51104
06:35,6.51°,65.03°,24.97°,-155.03°,8.76335
06:40,7.59°,64.64°,25.36°,-154.64°,7.50783
06:45,8.66°,64.25°,25.75°,-154.25°,6.56284
06:50,9.74°,63.85°,26.15°,-153.85°,5.82605
06:55,10.81°,63.43°,26.57°,-153.43°,5.23552
07:00,11.88°,63.00°,27.00°,-153.00°,4.75159
07:05,12.95°,62.56°,27.44°,-152.56°,4.34769
07:10,14.02°,62.11°,27.89°,-152.11°,4.00541
07:15,15.08°,61.64°,28.36°,-151.64°,3.71155
07:20,16.14°,61.16°,28.84°,-151.16°,3.45643
07:25,17.19°,60.66°,29.34°,-150.66°,3.23280
07:30,18.24°,60.15°,29.85°,-150.15°,3.03510
07:35,19.28°,59.63°,30.37°,-149.63°,2.85900
07:40,20.32°,59.08°,30.92°,-149.08°,2.70110
07:45,21.35°,58.53°,31.47°,-148.53°,2.55868
07:50,22.37°,57.95°,32.05°,-147.95°,2.42953
07:55,23.39°,57.36°,32.64°,-147.36°,2.31184
08:00,24.40°,56.75°,33.25°,-146.75°,2.20413
08:05,25.41°,56.12°,33.88°,-146.12°,2.10517
08:10,26.41°,55.47°,34.53°,-145.47°,2.01391
08:15,27.40°,54.80°,35.20°,-144.80°,1.92947
08:20,28.38°,54.11°,35.89°,-144.11°,1.85112
08:25,29.35°,53.39°,36.61°,-143.39°,1.77821
08:30,30.32°,52.66°,37.34°,-142.66°,1.71019
08:35,31.27°,51.90°,38.10°,-141.90°,1.64660
08:40,32.22°,51.11°,38.89°,-141.11°,1.58702
08:45,33.15°,50.30°,39.70°,-140.30°,1.53109
08:50,34.07°,49.46°,40.54°,-139.46°,1.47849
08:55,34.98°,48.60°,41.40°,-138.60°,1.42897
09:00,35.88°,47.71°,42.29°,-137.71°,1.38226
09:05,36.77°,46.78°,43.22°,-136.78°,1.33816
09:10,37.64°,45.83°,44.17°,-135.83°,1.29649
09:15,38.50°,44.84°,45.16°,-134.84°,1.25707
09:20,39.35°,43.83°,46.17°,-133.83°,1.21975
09:25,40.17°,42.78°,47.22°,-132.78°,1.18441
09:30,40.99°,41.69°,48.31°,-131.69°,1.15094
09:35,41.78°,40.57°,49.43°,-130.57°,1.11921
09:40,42.56°,39.41°,50.59°,-129.41°,1.08916
09:45,43.31°,38.21°,51.79°,-128.21°,1.06068
09:50,44.05°,36.98°,53.02°,-126.98°,1.03372
09:55,44.77°,35.71°,54.29°,-125.71°,1.00821
10:00,45.46°,34.39°,55.61°,-124.39°,0.98409
10:05,46.13°,33.04°,56.96°,-123.04°,0.96132
10:10,46.78°,31.65°,58.35°,-121.65°,0.93985
10:15,47.40°,30.21°,59.79°,-120.21°,0.91965
10:20,47.99°,28.74°,61.26°,-118.74°,0.90069
10:25,48.56°,27.22°,62.78°,-117.22°,0.88293
10:30,49.10°,25.67°,64.33°,-115.67°,0.86636
10:35,49.60°,24.07°,65.93°,-114.07°,0.85096
10:40,50.08°,22.43°,67.57°,-112.43°,0.83671
10:45,50.52°,20.76°,69.24°,-110.76°,0.82361
10:50,50.94°,19.05°,70.95°,-109.05°,0.81163
10:55,51.31°,17.31°,72.69°,-107.31°,0.80078
11:00,51.65°,15.53°,74.47°,-105.53°,0.79104
11:05,51.96°,13.73°,76.27°,-103.73°,0.78242
11:10,52.23°,11.89°,78.11°,-101.89°,0.77492
11:15,52.46°,10.04°,79.96°,-100.04°,0.76852
11:20,52.65°,8.16°,81.84°,-98.16°,0.76323
11:25,52.80°,6.27°,83.73°,-96.27°,0.75905
11:30,52.91°,4.36°,85.64°,-94.36°,0.75598
11:35,52.98°,2.44°,87.56°,-92.44°,0.75401
11:40,53.01°,0.52°,89.48°,-90.52°,0.75316
11:45,53.01°,-1.41°,91.41°,-88.59°,0.75342
11:50,52.96°,-3.33°,93.33°,-86.67°,0.75478
11:55,52.86°,-5.24°,95.24°,-84.76°,0.75726
12:00,52.73°,-7.14°,97.14°,-82.86°,0.76084
12:05,52.56°,-9.03°,99.03°,-80.97°,0.76553
12:10,52.36°,-10.90°,100.90°,-79.10°,0.77133
12:15,52.11°,-12.74°,102.74°,-77.26°,0.77824
12:20,51.82°,-14.56°,104.56°,-75.44°,0.78627
12:25,51.50°,-16.36°,106.36°,-73.64°,0.79540
12:30,51.14°,-18.12°,108.12°,-71.88°,0.80565
12:35,50.75°,-19.85°,109.85°,-70.15°,0.81702
12:40,50.32°,-21.54°,111.54°,-68.46°,0.82952
12:45,49.86°,-23.19°,113.19°,-66.81°,0.84315
12:50,49.37°,-24.81°,114.81°,-65.19°,0.85793
12:55,48.85°,-26.39°,116.39°,-63.61°,0.87387
13:00,48.30°,-27.93°,117.93°,-62.07°,0.89098
13:05,47.72°,-29.42°,119.42°,-60.58°,0.90929
13:10,47.11°,-30.88°,120.88°,-59.12°,0.92882
13:15,46.48°,-32.30°,122.30°,-57.70°,0.94961
13:20,45.82°,-33.67°,123.67°,-56.33°,0.97167
13:25,45.14°,-35.01°,125.01°,-54.99°,0.99506
13:30,44.44°,-36.30°,126.30°,-53.70°,1.01981
13:35,43.71°,-37.56°,127.56°,-52.44°,1.04599
13:40,42.97°,-38.77°,128.77°,-51.23°,1.07364
13:45,42.20°,-39.95°,129.95°,-50.05°,1.10283
13:50,41.42°,-41.09°,131.09°,-48.91°,1.13365
13:55,40.61°,-42.20°,132.20°,-47.80°,1.16617
14:00,39.79°,-43.27°,133.27°,-46.73°,1.20049
14:05,38.96°,-44.30°,134.30°,-45.70°,1.23673
14:10,38.11°,-45.30°,135.30°,-44.70°,1.27500
14:15,37.24°,-46.27°,136.27°,-43.73°,1.31544
14:20,36.36°,-47.21°,137.21°,-42.79°,1.35821
14:25,35.47°,-48.12°,138.12°,-41.88°,1.40349
14:30,34.57°,-49.00°,139.00°,-41.00°,1.45147
14:35,33.65°,-49.85°,139.85°,-40.15°,1.50238
14:40,32.72°,-50.68°,140.68°,-39.32°,1.55648
14:45,31.78°,-51.48°,141.48°,-38.52°,1.61405
14:50,30.83°,-52.25°,142.25°,-37.75°,1.67544
14:55,29.87°,-53.00°,143.00°,-37.00°,1.74102
15:00,28.90°,-53.73°,143.73°,-36.27°,1.81124
15:05,27.93°,-54.43°,144.43°,-35.57°,1.88659
15:10,26.94°,-55.11°,145.11°,-34.89°,1.96766
15:15,25.95°,-55.77°,145.77°,-34.23°,2.05515
15:20,24.95°,-56.41°,146.41°,-33.59°,2.14985
15:25,23.94°,-57.03°,147.03°,-32.97°,2.25271
15:30,22.92°,-57.64°,147.64°,-32.36°,2.36486
15:35,21.90°,-58.22°,148.22°,-31.78°,2.48764
15:40,20.87°,-58.79°,148.79°,-31.21°,2.62267
15:45,19.84°,-59.34°,149.34°,-30.66°,2.77194
15:50,18.80°,-59.87°,149.87°,-30.13°,2.93786
15:55,17.75°,-60.39°,150.39°,-29.61°,3.12346
16:00,16.70°,-60.89°,150.89°,-29.11°,3.33254
16:05,15.65°,-61.38°,151.38°,-28.62°,3.56992
16:10,14.59°,-61.86°,151.86°,-28.14°,3.84190
16:15,13.53°,-62.32°,152.32°,-27.68°,4.15674
16:20,12.46°,-62.76°,152.76°,-27.24°,4.52556
16:25,11.39°,-63.20°,153.20°,-26.80°,4.96372
16:30,10.32°,-63.62°,153.62°,-26.38°,5.49293
16:35,9.24°,-64.03°,154.03°,-25.97°,6.14499
16:40,8.17°,-64.43°,154.43°,-25.57°,6.96835
16:45,7.09°,-64.82°,154.82°,-25.18°,8.04049
16:50,6.01°,-65.20°,155.20°,-24.80°,9.49342
16:55,4.94°,-65.57°,155.57°,-24.43°,11.57211
17:00,3.87°,-65.92°,155.92°,-24.08°,14.77289
17:05,2.82°,-66.27°,156.27°,-23.73°,20.32030
17:10,1.78°,-66.61°,156.61°,-23.39°,32.13337
17:15,0.78°,-66.94°,156.94°,-23.06°,73.05197
