Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:55,-0.12°,73.41°,16.59°,-163.41°,--
06:00,0.94°,73.09°,16.91°,-163.09°,61.25375
06:05,1.98°,72.77°,17.23°,-162.77°,28.89181
06:10,3.07°,72.43°,17.57°,-162.43°,18.67000
06:15,4.17°,72.09°,17.91°,-162.09°,13.71709
06:20,5.29°,71.74°,18.26°,-161.74°,10.80913
06:25,6.41°,71.38°,18.62°,-161.38°,8.90325
06:30,7.53°,71.02°,18.98°,-161.02°,7.56058
06:35,8.66°,70.64°,19.36°,-160.64°,6.56427
06:40,9.79°,70.25°,19.75°,-160.25°,5.79582
06:45,10.92°,69.86°,20.14°,-159.86°,5.18507
06:50,12.04°,69.45°,20.55°,-159.45°,4.68790
06:55,13.17°,69.04°,20.96°,-159.04°,4.27521
07:00,14.29°,68.61°,21.39°,-158.61°,3.92701
07:05,15.41°,68.18°,21.82°,-158.18°,3.62916
07:10,16.52°,67.73°,22.27°,-157.73°,3.37135
07:15,17.63°,67.26°,22.74°,-157.26°,3.14592
07:20,18.74°,66.79°,23.21°,-156.79°,2.94703
07:25,19.85°,66.30°,23.70°,-156.30°,2.77017
07:30,20.95°,65.80°,24.20°,-155.80°,2.61179
07:35,22.05°,65.28°,24.72°,-155.28°,2.46908
07:40,23.14°,64.75°,25.25°,-154.75°,2.33976
07:45,24.23°,64.20°,25.80°,-154.20°,2.22198
07:50,25.31°,63.64°,26.36°,-153.64°,2.11421
07:55,26.39°,63.05°,26.95°,-153.05°,2.01519
08:00,27.46°,62.45°,27.55°,-152.45°,1.92387
08:05,28.53°,61.83°,28.17°,-151.83°,1.83934
08:10,29.59°,61.19°,28.81°,-151.19°,1.76086
08:15,30.65°,60.53°,29.47°,-150.53°,1.68776
08:20,31.69°,59.85°,30.15°,-149.85°,1.61951
08:25,32.73°,59.14°,30.86°,-149.14°,1.55562
08:30,33.77°,58.41°,31.59°,-148.41°,1.49567
08:35,34.79°,57.66°,32.34°,-147.66°,1.43931
08:40,35.81°,56.87°,33.13°,-146.87°,1.38621
08:45,36.81°,56.06°,33.94°,-146.06°,1.33611
08:50,37.81°,55.22°,34.78°,-145.22°,1.28875
08:55,38.80°,54.35°,35.65°,-144.35°,1.24393
09:00,39.77°,53.45°,36.55°,-143.45°,1.20144
09:05,40.74°,52.52°,37.48°,-142.52°,1.16114
09:10,41.69°,51.55°,38.45°,-141.55°,1.12285
09:15,42.63°,50.54°,39.46°,-140.54°,1.08647
09:20,43.55°,49.49°,40.51°,-139.49°,1.05186
09:25,44.46°,48.41°,41.59°,-138.41°,1.01893
09:30,45.36°,47.28°,42.72°,-137.28°,0.98758
09:35,46.24°,46.11°,43.89°,-136.11°,0.95773
09:40,47.10°,44.89°,45.11°,-134.89°,0.92931
09:45,47.94°,43.62°,46.38°,-133.62°,0.90227
09:50,48.76°,42.31°,47.69°,-132.31°,0.87653
09:55,49.57°,40.94°,49.06°,-130.94°,0.85207
10:00,50.35°,39.53°,50.47°,-129.53°,0.82884
10:05,51.10°,38.06°,51.94°,-128.06°,0.80680
10:10,51.84°,36.53°,53.47°,-126.53°,0.78593
10:15,52.54°,34.95°,55.05°,-124.95°,0.76620
10:20,53.22°,33.30°,56.70°,-123.30°,0.74760
10:25,53.87°,31.60°,58.40°,-121.60°,0.73011
10:30,54.48°,29.85°,60.15°,-119.85°,0.71372
10:35,55.07°,28.03°,61.97°,-118.03°,0.69844
10:40,55.62°,26.15°,63.85°,-116.15°,0.68425
10:45,56.13°,24.22°,65.78°,-114.22°,0.67115
10:50,56.61°,22.23°,67.77°,-112.23°,0.65916
10:55,57.05°,20.19°,69.81°,-110.19°,0.64827
11:00,57.44°,18.09°,71.91°,-108.09°,0.63850
11:05,57.80°,15.95°,74.05°,-105.95°,0.62984
11:10,58.11°,13.77°,76.23°,-103.77°,0.62232
11:15,58.37°,11.54°,78.46°,-101.54°,0.61593
11:20,58.59°,9.29°,80.71°,-99.29°,0.61068
11:25,58.76°,7.00°,83.00°,-97.00°,0.60659
11:30,58.88°,4.70°,85.30°,-94.70°,0.60365
11:35,58.96°,2.38°,87.62°,-92.38°,0.60188
11:40,58.98°,0.05°,89.95°,-90.05°,0.60127
11:45,58.96°,-2.28°,92.28°,-87.72°,0.60183
11:50,58.89°,-4.60°,94.60°,-85.40°,0.60355
11:55,58.77°,-6.91°,96.91°,-83.09°,0.60644
12:00,58.60°,-9.19°,99.19°,-80.81°,0.61049
12:05,58.38°,-11.45°,101.45°,-78.55°,0.61569
12:10,58.12°,-13.68°,103.68°,-76.32°,0.62203
12:15,57.81°,-15.86°,105.86°,-74.14°,0.62951
12:20,57.46°,-18.01°,108.01°,-71.99°,0.63812
12:25,57.06°,-20.10°,110.10°,-69.90°,0.64785
12:30,56.63°,-22.15°,112.15°,-67.85°,0.65869
12:35,56.15°,-24.14°,114.14°,-65.86°,0.67064
12:40,55.64°,-26.07°,116.07°,-63.93°,0.68368
12:45,55.09°,-27.95°,117.95°,-62.05°,0.69783
12:50,54.51°,-29.77°,119.77°,-60.23°,0.71307
12:55,53.89°,-31.53°,121.53°,-58.47°,0.72941
13:00,53.25°,-33.24°,123.24°,-56.76°,0.74685
13:05,52.57°,-34.88°,124.88°,-55.12°,0.76541
13:10,51.86°,-36.47°,126.47°,-53.53°,0.78509
