Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:45,-0.76°,95.84°,-5.84°,174.16°,--
05:50,0.60°,95.52°,-5.52°,174.48°,96.02885
05:55,1.67°,95.20°,-5.20°,174.80°,34.31106
06:00,2.79°,94.89°,-4.89°,175.11°,20.50777
06:05,3.94°,94.57°,-4.57°,175.43°,14.51110
06:10,5.11°,94.26°,-4.26°,175.74°,11.18319
06:15,6.29°,93.95°,-3.95°,176.05°,9.07251
06:20,7.48°,93.64°,-3.64°,176.36°,7.62004
06:25,8.67°,93.33°,-3.33°,176.67°,6.55983
06:30,9.86°,93.02°,-3.02°,176.98°,5.75205
06:35,11.06°,92.71°,-2.71°,177.29°,5.11609
06:40,12.26°,92.40°,-2.40°,177.60°,4.60222
06:45,13.46°,92.09°,-2.09°,177.91°,4.17817
06:50,14.66°,91.78°,-1.78°,178.22°,3.82209
06:55,15.87°,91.47°,-1.47°,178.53°,3.51865
07:00,17.07°,91.16°,-1.16°,178.84°,3.25681
07:05,18.27°,90.84°,-0.84°,179.16°,3.02841
07:10,19.48°,90.53°,-0.53°,179.47°,2.82727
07:15,20.68°,90.21°,-0.21°,179.79°,2.64865
07:20,21.89°,89.89°,0.11°,-179.89°,2.48886
07:25,23.10°,89.57°,0.43°,-179.57°,2.34494
07:30,24.30°,89.24°,0.76°,-179.24°,2.21455
07:35,25.51°,88.91°,1.09°,-178.91°,2.09577
07:40,26.71°,88.58°,1.42°,-178.58°,1.98703
07:45,27.92°,88.24°,1.76°,-178.24°,1.88702
07:50,29.13°,87.90°,2.10°,-177.90°,1.79466
07:55,30.33°,87.55°,2.45°,-177.55°,1.70904
08:00,31.54°,87.20°,2.80°,-177.20°,1.62939
08:05,32.74°,86.84°,3.16°,-176.84°,1.55503
08:10,33.95°,86.47°,3.53°,-176.47°,1.48540
08:15,35.15°,86.10°,3.90°,-176.10°,1.42001
08:20,36.36°,85.72°,4.28°,-175.72°,1.35844
08:25,37.56°,85.32°,4.68°,-175.32°,1.30032
08:30,38.76°,84.92°,5.08°,-174.92°,1.24531
08:35,39.97°,84.51°,5.49°,-174.51°,1.19314
08:40,41.17°,84.09°,5.91°,-174.09°,1.14355
08:45,42.37°,83.65°,6.35°,-173.65°,1.09632
08:50,43.57°,83.21°,6.79°,-173.21°,1.05124
08:55,44.77°,82.74°,7.26°,-172.74°,1.00815
09:00,45.96°,82.26°,7.74°,-172.26°,0.96688
09:05,47.16°,81.76°,8.24°,-171.76°,0.92728
09:10,48.36°,81.25°,8.75°,-171.25°,0.88924
09:15,49.55°,80.71°,9.29°,-170.71°,0.85263
09:20,50.74°,80.15°,9.85°,-170.15°,0.81736
09:25,51.93°,79.56°,10.44°,-169.56°,0.78332
09:30,53.11°,78.95°,11.05°,-168.95°,0.75043
09:35,54.30°,78.31°,11.69°,-168.31°,0.71861
09:40,55.48°,77.63°,12.37°,-167.63°,0.68780
09:45,56.66°,76.91°,13.09°,-166.91°,0.65793
09:50,57.83°,76.15°,13.85°,-166.15°,0.62894
09:55,59.00°,75.35°,14.65°,-165.35°,0.60079
10:00,60.17°,74.49°,15.51°,-164.49°,0.57342
10:05,61.33°,73.58°,16.42°,-163.58°,0.54679
10:10,62.49°,72.60°,17.40°,-162.60°,0.52087
10:15,63.64°,71.55°,18.45°,-161.55°,0.49563
10:20,64.78°,70.42°,19.58°,-160.42°,0.47104
10:25,65.91°,69.19°,20.81°,-159.19°,0.44709
10:30,67.04°,67.85°,22.15°,-157.85°,0.42375
10:35,68.15°,66.39°,23.61°,-156.39°,0.40102
10:40,69.25°,64.79°,25.21°,-154.79°,0.37890
10:45,70.33°,63.03°,26.97°,-153.03°,0.35740
10:50,71.40°,61.08°,28.92°,-151.08°,0.33653
10:55,72.45°,58.91°,31.09°,-148.91°,0.31633
