Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:50,-0.28°,83.22°,6.78°,-173.22°,--
05:55,0.89°,82.90°,7.10°,-172.90°,64.49146
06:00,1.97°,82.58°,7.42°,-172.58°,29.02334
06:05,3.10°,82.25°,7.75°,-172.25°,18.46886
06:10,4.25°,81.92°,8.08°,-171.92°,13.46361
06:15,5.41°,81.59°,8.41°,-171.59°,10.55757
06:20,6.58°,81.25°,8.75°,-171.25°,8.66644
06:25,7.76°,80.91°,9.09°,-170.91°,7.34022
06:30,8.94°,80.56°,9.44°,-170.56°,6.35925
06:35,10.12°,80.20°,9.80°,-170.20°,5.60436
06:40,11.30°,79.84°,10.16°,-169.84°,5.00539
06:45,12.48°,79.48°,10.52°,-169.48°,4.51841
06:50,13.66°,79.11°,10.89°,-169.11°,4.11451
06:55,14.84°,78.73°,11.27°,-168.73°,3.77392
07:00,16.02°,78.34°,11.66°,-168.34°,3.48268
07:05,17.20°,77.95°,12.05°,-167.95°,3.23064
07:10,18.38°,77.55°,12.45°,-167.55°,3.01023
07:15,19.55°,77.13°,12.87°,-167.13°,2.81573
07:20,20.73°,76.71°,13.29°,-166.71°,2.64271
07:25,21.90°,76.28°,13.72°,-166.28°,2.48769
07:30,23.07°,75.84°,14.16°,-165.84°,2.34792
07:35,24.24°,75.39°,14.61°,-165.39°,2.22116
07:40,25.40°,74.93°,15.07°,-164.93°,2.10560
07:45,26.57°,74.45°,15.55°,-164.45°,1.99975
07:50,27.73°,73.97°,16.03°,-163.97°,1.90237
07:55,28.89°,73.46°,16.54°,-163.46°,1.81243
08:00,30.04°,72.95°,17.05°,-162.95°,1.72906
08:05,31.20°,72.41°,17.59°,-162.41°,1.65151
08:10,32.34°,71.86°,18.14°,-161.86°,1.57915
08:15,33.49°,71.30°,18.70°,-161.30°,1.51144
08:20,34.63°,70.71°,19.29°,-160.71°,1.44791
08:25,35.77°,70.10°,19.90°,-160.10°,1.38815
08:30,36.90°,69.48°,20.52°,-159.48°,1.33181
08:35,38.03°,68.83°,21.17°,-158.83°,1.27858
08:40,39.15°,68.16°,21.84°,-158.16°,1.22818
08:45,40.27°,67.46°,22.54°,-157.46°,1.18037
08:50,41.38°,66.73°,23.27°,-156.73°,1.13494
08:55,42.49°,65.97°,24.03°,-155.97°,1.09171
09:00,43.59°,65.19°,24.81°,-155.19°,1.05050
09:05,44.68°,64.37°,25.63°,-154.37°,1.01118
09:10,45.77°,63.51°,26.49°,-153.51°,0.97360
09:15,46.84°,62.62°,27.38°,-152.62°,0.93765
09:20,47.91°,61.69°,28.31°,-151.69°,0.90322
09:25,48.97°,60.71°,29.29°,-150.71°,0.87023
09:30,50.02°,59.69°,30.31°,-149.69°,0.83858
09:35,51.05°,58.62°,31.38°,-148.62°,0.80822
09:40,52.08°,57.49°,32.51°,-147.49°,0.77906
09:45,53.09°,56.31°,33.69°,-146.31°,0.75107
09:50,54.09°,55.06°,34.94°,-145.06°,0.72418
09:55,55.07°,53.76°,36.24°,-143.76°,0.69837
10:00,56.04°,52.38°,37.62°,-142.38°,0.67359
10:05,56.98°,50.93°,39.07°,-140.93°,0.64981
10:10,57.91°,49.39°,40.61°,-139.39°,0.62703
10:15,58.82°,47.78°,42.22°,-137.78°,0.60522
10:20,59.70°,46.07°,43.93°,-136.07°,0.58437
