Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:45,-0.30°,98.54°,-8.54°,171.46°,--
05:50,0.87°,98.22°,-8.22°,171.78°,65.60933
05:55,1.96°,97.90°,-7.90°,172.10°,29.29056
06:00,3.08°,97.58°,-7.58°,172.42°,18.58250
06:05,4.23°,97.27°,-7.27°,172.73°,13.52079
06:10,5.40°,96.97°,-6.97°,173.03°,10.58710
06:15,6.57°,96.66°,-6.66°,173.34°,8.67999
06:20,7.75°,96.36°,-6.36°,173.64°,7.34356
06:25,8.94°,96.06°,-6.06°,173.94°,6.35556
06:30,10.13°,95.76°,-5.76°,174.24°,5.59555
06:35,11.33°,95.46°,-5.46°,174.54°,4.99268
06:40,12.52°,95.16°,-5.16°,174.84°,4.50261
06:45,13.72°,94.87°,-4.87°,175.13°,4.09619
06:50,14.92°,94.57°,-4.57°,175.43°,3.75350
06:55,16.12°,94.28°,-4.28°,175.72°,3.46044
07:00,17.32°,93.98°,-3.98°,176.02°,3.20679
07:05,18.52°,93.69°,-3.69°,176.31°,2.98495
07:10,19.72°,93.39°,-3.39°,176.61°,2.78914
07:15,20.93°,93.10°,-3.10°,176.90°,2.61490
07:20,22.13°,92.80°,-2.80°,177.20°,2.45873
07:25,23.34°,92.51°,-2.51°,177.49°,2.31785
07:30,24.54°,92.21°,-2.21°,177.79°,2.19001
07:35,25.75°,91.91°,-1.91°,178.09°,2.07340
07:40,26.95°,91.61°,-1.61°,178.39°,1.96651
07:45,28.16°,91.30°,-1.30°,178.70°,1.86810
07:50,29.37°,91.00°,-1.00°,179.00°,1.77711
07:55,30.57°,90.69°,-0.69°,179.31°,1.69268
08:00,31.78°,90.37°,-0.37°,179.63°,1.61405
08:05,32.99°,90.05°,-0.05°,179.95°,1.54058
08:10,34.20°,89.73°,0.27°,-179.73°,1.47173
08:15,35.40°,89.41°,0.59°,-179.41°,1.40702
08:20,36.61°,89.07°,0.93°,-179.07°,1.34604
08:25,37.82°,88.74°,1.26°,-178.74°,1.28842
08:30,39.02°,88.39°,1.61°,-178.39°,1.23385
08:35,40.23°,88.04°,1.96°,-178.04°,1.18206
08:40,41.44°,87.68°,2.32°,-177.68°,1.13279
08:45,42.64°,87.31°,2.69°,-177.31°,1.08583
08:50,43.85°,86.94°,3.06°,-176.94°,1.04098
08:55,45.06°,86.55°,3.45°,-176.55°,0.99807
09:00,46.26°,86.15°,3.85°,-176.15°,0.95694
09:05,47.47°,85.74°,4.26°,-175.74°,0.91745
09:10,48.67°,85.32°,4.68°,-175.32°,0.87948
09:15,49.87°,84.87°,5.13°,-174.87°,0.84290
09:20,51.07°,84.42°,5.58°,-174.42°,0.80762
09:25,52.28°,83.94°,6.06°,-173.94°,0.77355
09:30,53.48°,83.45°,6.55°,-173.45°,0.74059
09:35,54.68°,82.93°,7.07°,-172.93°,0.70866
09:40,55.87°,82.39°,7.61°,-172.39°,0.67771
09:45,57.07°,81.82°,8.18°,-171.82°,0.64766
09:50,58.27°,81.21°,8.79°,-171.21°,0.61846
09:55,59.46°,80.58°,9.42°,-170.58°,0.59004
10:00,60.65°,79.90°,10.10°,-169.90°,0.56237
10:05,61.84°,79.18°,10.82°,-169.18°,0.53539
10:10,63.02°,78.41°,11.59°,-168.41°,0.50907
10:15,64.20°,77.59°,12.41°,-167.59°,0.48337
10:20,65.38°,76.70°,13.30°,-166.70°,0.45826
10:25,66.55°,75.73°,14.27°,-165.73°,0.43372
10:30,67.72°,74.68°,15.32°,-164.68°,0.40971
10:35,68.88°,73.53°,16.47°,-163.53°,0.38622
10:40,70.04°,72.26°,17.74°,-162.26°,0.36324
10:45,71.18°,70.85°,19.15°,-160.85°,0.34076
10:50,72.32°,69.28°,20.72°,-159.28°,0.31878
10:55,73.44°,67.52°,22.48°,-157.52°,0.29732
11:00,74.55°,65.52°,24.48°,-155.52°,0.27639
11:05,75.64°,63.24°,26.76°,-153.24°,0.25603
11:10,76.71°,60.61°,29.39°,-150.61°,0.23630
11:15,77.74°,57.55°,32.45°,-147.55°,0.21727
11:20,78.74°,53.96°,36.04°,-143.96°,0.19908
11:25,79.69°,49.72°,40.28°,-139.72°,0.18189
11:30,80.58°,44.68°,45.32°,-134.68°,0.16594
11:35,81.38°,38.68°,51.32°,-128.68°,0.15155
11:40,82.08°,31.55°,58.45°,-121.55°,0.13914
11:45,82.64°,23.24°,66.76°,-113.24°,0.12924
11:50,83.02°,13.80°,76.20°,-103.80°,0.12242
11:55,83.20°,3.58°,86.42°,-93.58°,0.11917
12:00,83.17°,-6.86°,96.86°,-83.14°,0.11979
12:05,82.92°,-16.88°,106.88°,-73.12°,0.12420
12:10,82.48°,-25.98°,115.98°,-64.02°,0.13205
12:15,81.87°,-33.92°,123.92°,-56.08°,0.14280
12:20,81.14°,-40.68°,130.68°,-49.32°,0.15589
12:25,80.31°,-46.37°,136.37°,-43.63°,0.17081
12:30,79.40°,-51.14°,141.14°,-38.86°,0.18718
12:35,78.43°,-55.16°,145.16°,-34.84°,0.20471
12:40,77.42°,-58.56°,148.56°,-31.44°,0.22318
12:45,76.37°,-61.48°,151.48°,-28.52°,0.24244
12:50,75.30°,-63.99°,153.99°,-26.01°,0.26237
12:55,74.20°,-66.18°,156.18°,-23.82°,0.28292
13:00,73.09°,-68.10°,158.10°,-21.90°,0.30402
13:05,71.96°,-69.80°,159.80°,-20.20°,0.32565
13:10,70.82°,-71.31°,161.31°,-18.69°,0.34778
13:15,69.67°,-72.67°,162.67°,-17.33°,0.37042
13:20,68.52°,-73.90°,163.90°,-16.10°,0.39356
13:25,67.35°,-75.02°,165.02°,-14.98°,0.41721
13:30,66.18°,-76.04°,166.04°,-13.96°,0.44138
13:35,65.01°,-76.98°,166.98°,-13.02°,0.46611
13:40,63.83°,-77.85°,167.85°,-12.15°,0.49140
13:45,62.65°,-78.66°,168.66°,-11.34°,0.51729
13:50,61.46°,-79.41°,169.41°,-10.59°,0.54381
13:55,60.27°,-80.12°,170.12°,-9.88°,0.57100
14:00,59.08°,-80.78°,170.78°,-9.22°,0.59890
14:05,57.89°,-81.41°,171.41°,-8.59°,0.62756
14:10,56.69°,-82.00°,172.00°,-8.00°,0.65703
14:15,55.50°,-82.56°,172.56°,-7.44°,0.68736
14:20,54.30°,-83.10°,173.10°,-6.90°,0.71861
14:25,53.10°,-83.61°,173.61°,-6.39°,0.75085
14:30,51.90°,-84.09°,174.09°,-5.91°,0.78415
14:35,50.70°,-84.56°,174.56°,-5.44°,0.81859
14:40,49.49°,-85.02°,175.02°,-4.98°,0.85427
14:45,48.29°,-85.45°,175.45°,-4.55°,0.89127
14:50,47.09°,-85.87°,175.87°,-4.13°,0.92971
14:55,45.88°,-86.28°,176.28°,-3.72°,0.96971
15:00,44.68°,-86.67°,176.67°,-3.33°,1.01138
15:05,43.47°,-87.06°,177.06°,-2.94°,1.05489
15:10,42.26°,-87.43°,177.43°,-2.57°,1.10038
15:15,41.06°,-87.80°,177.80°,-2.20°,1.14805
15:20,39.85°,-88.15°,178.15°,-1.85°,1.19808
15:25,38.64°,-88.50°,178.50°,-1.50°,1.25072
15:30,37.44°,-88.84°,178.84°,-1.16°,1.30622
15:35,36.23°,-89.18°,179.18°,-0.82°,1.36486
15:40,35.02°,-89.51°,179.51°,-0.49°,1.42697
15:45,33.81°,-89.83°,179.83°,-0.17°,1.49294
15:50,32.61°,-90.16°,-179.84°,0.16°,1.56319
15:55,31.40°,-90.47°,-179.53°,0.47°,1.63822
16:00,30.19°,-90.78°,-179.22°,0.78°,1.71860
16:05,28.99°,-91.09°,-178.91°,1.09°,1.80501
16:10,27.78°,-91.40°,-178.60°,1.40°,1.89823
16:15,26.57°,-91.70°,-178.30°,1.70°,1.99920
16:20,25.37°,-92.00°,-178.00°,2.00°,2.10900
16:25,24.16°,-92.30°,-177.70°,2.30°,2.22897
16:30,22.96°,-92.60°,-177.40°,2.60°,2.36069
16:35,21.75°,-92.90°,-177.10°,2.90°,2.50612
16:40,20.55°,-93.19°,-176.81°,3.19°,2.66765
16:45,19.35°,-93.49°,-176.51°,3.49°,2.84827
16:50,18.14°,-93.78°,-176.22°,3.78°,3.05174
16:55,16.94°,-94.07°,-175.93°,4.07°,3.28290
17:00,15.74°,-94.37°,-175.63°,4.37°,3.54803
17:05,14.54°,-94.66°,-175.34°,4.66°,3.85545
17:10,13.34°,-94.96°,-175.04°,4.96°,4.21646
17:15,12.15°,-95.25°,-174.75°,5.25°,4.64672
17:20,10.95°,-95.55°,-174.45°,5.55°,5.16859
17:25,9.76°,-95.85°,-174.15°,5.85°,5.81519
17:30,8.57°,-96.15°,-173.85°,6.15°,6.63761
17:35,7.38°,-96.45°,-173.55°,6.45°,7.71895
17:40,6.20°,-96.76°,-173.24°,6.76°,9.20384
17:45,5.03°,-97.06°,-172.94°,7.06°,11.36854
17:50,3.87°,-97.37°,-172.63°,7.37°,14.79766
17:55,2.72°,-97.68°,-172.32°,7.68°,21.02664
18:00,1.61°,-98.00°,-172.00°,8.00°,35.60162
18:05,0.55°,-98.32°,-171.68°,8.32°,105.00958
