Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:25,-0.10°,112.65°,-22.65°,157.35°,--
05:30,0.91°,112.33°,-22.33°,157.67°,63.16069
05:35,1.92°,112.02°,-22.02°,157.98°,29.84146
05:40,2.97°,111.72°,-21.72°,158.28°,19.26699
05:45,4.05°,111.42°,-21.42°,158.58°,14.13373
05:50,5.14°,111.13°,-21.13°,158.87°,11.11902
05:55,6.24°,110.86°,-20.86°,159.14°,9.14016
06:00,7.36°,110.59°,-20.59°,159.41°,7.74664
06:05,8.47°,110.32°,-20.32°,159.68°,6.71257
06:10,9.60°,110.07°,-20.07°,159.93°,5.91500
06:15,10.72°,109.82°,-19.82°,160.18°,5.28111
06:20,11.85°,109.58°,-19.58°,160.42°,4.76510
06:25,12.98°,109.35°,-19.35°,160.65°,4.33674
06:30,14.12°,109.13°,-19.13°,160.87°,3.97528
06:35,15.26°,108.91°,-18.91°,161.09°,3.66604
06:40,16.40°,108.70°,-18.70°,161.30°,3.39831
06:45,17.54°,108.50°,-18.50°,161.50°,3.16413
06:50,18.68°,108.30°,-18.30°,161.70°,2.95742
06:55,19.83°,108.11°,-18.11°,161.89°,2.77351
07:00,20.97°,107.93°,-17.93°,162.07°,2.60871
07:05,22.12°,107.76°,-17.76°,162.24°,2.46009
07:10,23.27°,107.59°,-17.59°,162.41°,2.32528
07:15,24.42°,107.43°,-17.43°,162.57°,2.20237
07:20,25.57°,107.28°,-17.28°,162.72°,2.08976
07:25,26.72°,107.13°,-17.13°,162.87°,1.98613
07:30,27.88°,106.99°,-16.99°,163.01°,1.89039
07:35,29.03°,106.86°,-16.86°,163.14°,1.80160
07:40,30.19°,106.74°,-16.74°,163.26°,1.71897
07:45,31.34°,106.63°,-16.63°,163.37°,1.64183
07:50,32.50°,106.52°,-16.52°,163.48°,1.56959
07:55,33.66°,106.43°,-16.43°,163.57°,1.50176
08:00,34.82°,106.34°,-16.34°,163.66°,1.43788
08:05,35.98°,106.26°,-16.26°,163.74°,1.37759
08:10,37.14°,106.19°,-16.19°,163.81°,1.32054
08:15,38.30°,106.13°,-16.13°,163.87°,1.26644
08:20,39.46°,106.08°,-16.08°,163.92°,1.21503
08:25,40.62°,106.04°,-16.04°,163.96°,1.16608
08:30,41.78°,106.01°,-16.01°,163.99°,1.11937
08:35,42.94°,105.99°,-15.99°,164.01°,1.07474
08:40,44.10°,105.99°,-15.99°,164.01°,1.03200
08:45,45.26°,106.00°,-16.00°,164.00°,0.99101
08:50,46.42°,106.02°,-16.02°,163.98°,0.95164
08:55,47.58°,106.06°,-16.06°,163.94°,0.91376
09:00,48.74°,106.11°,-16.11°,163.89°,0.87727
09:05,49.90°,106.18°,-16.18°,163.82°,0.84206
09:10,51.06°,106.27°,-16.27°,163.73°,0.80804
09:15,52.22°,106.38°,-16.38°,163.62°,0.77514
09:20,53.38°,106.51°,-16.51°,163.49°,0.74327
09:25,54.54°,106.66°,-16.66°,163.34°,0.71236
09:30,55.69°,106.84°,-16.84°,163.16°,0.68236
09:35,56.85°,107.05°,-17.05°,162.95°,0.65320
09:40,58.00°,107.29°,-17.29°,162.71°,0.62484
09:45,59.15°,107.56°,-17.56°,162.44°,0.59721
09:50,60.30°,107.87°,-17.87°,162.13°,0.57029
09:55,61.45°,108.22°,-18.22°,161.78°,0.54402
10:00,62.60°,108.62°,-18.62°,161.38°,0.51838
10:05,63.74°,109.07°,-19.07°,160.93°,0.49332
10:10,64.88°,109.58°,-19.58°,160.42°,0.46882
10:15,66.02°,110.16°,-20.16°,159.84°,0.44485
10:20,67.15°,110.81°,-20.81°,159.19°,0.42140
10:25,68.28°,111.56°,-21.56°,158.44°,0.39844
10:30,69.40°,112.41°,-22.41°,157.59°,0.37596
10:35,70.51°,113.37°,-23.37°,156.63°,0.35395
10:40,71.61°,114.48°,-24.48°,155.52°,0.33240
10:45,72.71°,115.76°,-25.76°,154.24°,0.31134
10:50,73.79°,117.23°,-27.23°,152.77°,0.29075
10:55,74.85°,118.93°,-28.93°,151.07°,0.27068
11:00,75.90°,120.92°,-30.92°,149.08°,0.25116
11:05,76.92°,123.26°,-33.26°,146.74°,0.23225
11:10,77.92°,126.01°,-36.01°,143.99°,0.21403
11:15,78.88°,129.29°,-39.29°,140.71°,0.19663
11:20,79.78°,133.19°,-43.19°,136.81°,0.18020
11:25,80.63°,137.87°,-47.87°,132.13°,0.16498
11:30,81.40°,143.46°,-53.46°,126.54°,0.15126
11:35,82.06°,150.10°,-60.10°,119.90°,0.13945
11:40,82.59°,157.84°,-67.84°,112.16°,0.13000
11:45,82.96°,166.61°,-76.61°,103.39°,0.12344
11:50,83.14°,176.11°,-86.11°,93.89°,0.12022
11:55,83.12°,-174.17°,-95.83°,84.17°,0.12058
12:00,82.90°,-164.79°,-105.21°,74.79°,0.12450
12:05,82.50°,-156.21°,-113.79°,66.21°,0.13168
12:10,81.94°,-148.68°,-121.32°,58.68°,0.14164
12:15,81.25°,-142.26°,-127.74°,52.26°,0.15387
12:20,80.47°,-136.87°,-133.13°,46.87°,0.16791
