Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
06:05,-0.68°,66.24°,23.76°,-156.24°,--
06:10,0.56°,65.93°,24.07°,-155.93°,101.60705
06:15,1.54°,65.60°,24.40°,-155.60°,37.14049
06:20,2.56°,65.27°,24.73°,-155.27°,22.35333
06:25,3.60°,64.92°,25.08°,-154.92°,15.87817
06:30,4.66°,64.56°,25.44°,-154.56°,12.27246
06:35,5.72°,64.20°,25.80°,-154.20°,9.98079
06:40,6.79°,63.82°,26.18°,-153.82°,8.40175
06:45,7.85°,63.43°,26.57°,-153.43°,7.24889
06:50,8.92°,63.03°,26.97°,-153.03°,6.37065
06:55,9.99°,62.62°,27.38°,-152.62°,5.67951
07:00,11.05°,62.20°,27.80°,-152.20°,5.12144
07:05,12.11°,61.76°,28.24°,-151.76°,4.66134
07:10,13.16°,61.31°,28.69°,-151.31°,4.27541
07:15,14.22°,60.85°,29.15°,-150.85°,3.94698
07:20,15.27°,60.38°,29.62°,-150.38°,3.66401
07:25,16.31°,59.89°,30.11°,-149.89°,3.41760
07:30,17.35°,59.38°,30.62°,-149.38°,3.20102
07:35,18.38°,58.86°,31.14°,-148.86°,3.00911
07:40,19.41°,58.33°,31.67°,-148.33°,2.83784
07:45,20.43°,57.78°,32.22°,-147.78°,2.68399
07:50,21.45°,57.21°,32.79°,-147.21°,2.54500
07:55,22.46°,56.62°,33.38°,-146.62°,2.41880
08:00,23.47°,56.02°,33.98°,-146.02°,2.30366
08:05,24.46°,55.40°,34.60°,-145.40°,2.19817
08:10,25.45°,54.76°,35.24°,-144.76°,2.10116
08:15,26.43°,54.09°,35.91°,-144.09°,2.01162
08:20,27.41°,53.41°,36.59°,-143.41°,1.92873
08:25,28.37°,52.71°,37.29°,-142.71°,1.85176
08:30,29.33°,51.98°,38.02°,-141.98°,1.78011
08:35,30.27°,51.23°,38.77°,-141.23°,1.71324
08:40,31.21°,50.46°,39.54°,-140.46°,1.65070
08:45,32.13°,49.66°,40.34°,-139.66°,1.59209
08:50,33.05°,48.84°,41.16°,-138.84°,1.53706
08:55,33.95°,47.99°,42.01°,-137.99°,1.48532
09:00,34.84°,47.11°,42.89°,-137.11°,1.43660
09:05,35.72°,46.20°,43.80°,-136.20°,1.39065
09:10,36.58°,45.27°,44.73°,-135.27°,1.34729
09:15,37.43°,44.30°,45.70°,-134.30°,1.30631
09:20,38.27°,43.30°,46.70°,-133.30°,1.26757
09:25,39.09°,42.27°,47.73°,-132.27°,1.23092
09:30,39.89°,41.21°,48.79°,-131.21°,1.19622
09:35,40.68°,40.11°,49.89°,-130.11°,1.16338
09:40,41.45°,38.98°,51.02°,-128.98°,1.13228
09:45,42.20°,37.82°,52.18°,-127.82°,1.10284
09:50,42.93°,36.61°,53.39°,-126.61°,1.07498
09:55,43.64°,35.37°,54.63°,-125.37°,1.04863
10:00,44.33°,34.09°,55.91°,-124.09°,1.02373
10:05,44.99°,32.78°,57.22°,-122.78°,1.00022
10:10,45.64°,31.42°,58.58°,-121.42°,0.97806
10:15,46.25°,30.03°,59.97°,-120.03°,0.95721
10:20,46.84°,28.60°,61.40°,-118.60°,0.93762
10:25,47.41°,27.13°,62.87°,-117.13°,0.91928
10:30,47.94°,25.62°,64.38°,-115.62°,0.90215
10:35,48.45°,24.07°,65.93°,-114.07°,0.88621
10:40,48.93°,22.49°,67.51°,-112.49°,0.87144
10:45,49.38°,20.87°,69.13°,-110.87°,0.85783
10:50,49.79°,19.22°,70.78°,-109.22°,0.84537
