Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
06:00,-0.95°,67.67°,22.33°,-157.67°,--
06:05,0.39°,67.35°,22.65°,-157.35°,145.62019
06:10,1.37°,67.03°,22.97°,-157.03°,41.73828
06:15,2.40°,66.70°,23.30°,-156.70°,23.88793
06:20,3.45°,66.35°,23.65°,-156.35°,16.59734
06:25,4.51°,66.00°,24.00°,-156.00°,12.66985
06:30,5.59°,65.64°,24.36°,-155.64°,10.22233
06:35,6.67°,65.26°,24.74°,-155.26°,8.55726
06:40,7.74°,64.88°,25.12°,-154.88°,7.35279
06:45,8.82°,64.49°,25.51°,-154.49°,6.44154
06:50,9.90°,64.08°,25.92°,-154.08°,5.72823
06:55,10.98°,63.66°,26.34°,-153.66°,5.15469
07:00,12.05°,63.23°,26.77°,-153.23°,4.68346
07:05,13.12°,62.79°,27.21°,-152.79°,4.28931
07:10,14.19°,62.34°,27.66°,-152.34°,3.95467
07:15,15.25°,61.87°,28.13°,-151.87°,3.66693
07:20,16.31°,61.39°,28.61°,-151.39°,3.41677
07:25,17.37°,60.89°,29.11°,-150.89°,3.19723
07:30,18.42°,60.38°,29.62°,-150.38°,3.00293
07:35,19.46°,59.85°,30.15°,-149.85°,2.82970
07:40,20.50°,59.31°,30.69°,-149.31°,2.67424
07:45,21.54°,58.75°,31.25°,-148.75°,2.53391
07:50,22.56°,58.18°,31.82°,-148.18°,2.40656
07:55,23.59°,57.58°,32.42°,-147.58°,2.29044
08:00,24.60°,56.97°,33.03°,-146.97°,2.18411
08:05,25.61°,56.34°,33.66°,-146.34°,2.08635
08:10,26.61°,55.69°,34.31°,-145.69°,1.99615
08:15,27.60°,55.02°,34.98°,-145.02°,1.91267
08:20,28.59°,54.33°,35.67°,-144.33°,1.83516
08:25,29.56°,53.61°,36.39°,-143.61°,1.76300
08:30,30.53°,52.87°,37.13°,-142.87°,1.69566
08:35,31.49°,52.11°,37.89°,-142.11°,1.63268
08:40,32.43°,51.33°,38.67°,-141.33°,1.57364
08:45,33.37°,50.51°,39.49°,-140.51°,1.51821
08:50,34.30°,49.67°,40.33°,-139.67°,1.46606
08:55,35.21°,48.81°,41.19°,-138.81°,1.41694
09:00,36.11°,47.91°,42.09°,-137.91°,1.37061
