Time,Solar Position,,,Shadow Projection,
,Altitude,Azimuth,Hor.Angle,Hor.Angle,Length
05:45,-1.07°,93.07°,-3.07°,176.93°,--
05:50,0.38°,92.75°,-2.75°,177.25°,149.06463
05:55,1.45°,92.43°,-2.43°,177.57°,39.58142
06:00,2.57°,92.11°,-2.11°,177.89°,22.32176
06:05,3.71°,91.79°,-1.79°,178.21°,15.40295
06:10,4.88°,91.47°,-1.47°,178.53°,11.70684
06:15,6.06°,91.16°,-1.16°,178.84°,9.41399
06:20,7.25°,90.84°,-0.84°,179.16°,7.85918
06:25,8.44°,90.52°,-0.52°,179.48°,6.73621
06:30,9.64°,90.20°,-0.20°,179.80°,5.88735
06:35,10.84°,89.88°,0.12°,-179.88°,5.22312
06:40,12.04°,89.56°,0.44°,-179.56°,4.68904
06:45,13.24°,89.24°,0.76°,-179.24°,4.25008
06:50,14.44°,88.91°,1.09°,-178.91°,3.88272
06:55,15.65°,88.58°,1.42°,-178.58°,3.57055
07:00,16.85°,88.25°,1.75°,-178.25°,3.30184
07:05,18.05°,87.92°,2.08°,-177.92°,3.06793
07:10,19.26°,87.59°,2.41°,-177.59°,2.86233
07:15,20.46°,87.25°,2.75°,-177.25°,2.68006
07:20,21.67°,86.90°,3.10°,-176.90°,2.51724
07:25,22.87°,86.55°,3.45°,-176.55°,2.37080
07:30,24.07°,86.20°,3.80°,-176.20°,2.23828
07:35,25.28°,85.84°,4.16°,-175.84°,2.11770
07:40,26.48°,85.48°,4.52°,-175.48°,2.00742
07:45,27.68°,85.11°,4.89°,-175.11°,1.90610
07:50,28.88°,84.73°,5.27°,-174.73°,1.81262
07:55,30.09°,84.34°,5.66°,-174.34°,1.72604
08:00,31.29°,83.95°,6.05°,-173.95°,1.64555
08:05,32.49°,83.55°,6.45°,-173.55°,1.57047
08:10,33.69°,83.14°,6.86°,-173.14°,1.50023
08:15,34.88°,82.71°,7.29°,-172.71°,1.43432
08:20,36.08°,82.28°,7.72°,-172.28°,1.37230
08:25,37.28°,81.84°,8.16°,-171.84°,1.31379
08:30,38.47°,81.38°,8.62°,-171.38°,1.25847
08:35,39.66°,80.91°,9.09°,-170.91°,1.20603
08:40,40.86°,80.42°,9.58°,-170.42°,1.15623
08:45,42.05°,79.92°,10.08°,-169.92°,1.10883
08:50,43.23°,79.40°,10.60°,-169.40°,1.06364
08:55,44.42°,78.86°,11.14°,-168.86°,1.02047
09:00,45.60°,78.30°,11.70°,-168.30°,0.97916
09:05,46.78°,77.72°,12.28°,-167.72°,0.93957
09:10,47.96°,77.12°,12.88°,-167.12°,0.90157
09:15,49.14°,76.48°,13.52°,-166.48°,0.86503
09:20,50.31°,75.82°,14.18°,-165.82°,0.82987
09:25,51.48°,75.13°,14.87°,-165.13°,0.79598
09:30,52.65°,74.40°,15.60°,-164.40°,0.76328
09:35,53.81°,73.64°,16.36°,-163.64°,0.73169
09:40,54.96°,72.83°,17.17°,-162.83°,0.70115
09:45,56.12°,71.98°,18.02°,-161.98°,0.67159
09:50,57.26°,71.08°,18.92°,-161.08°,0.64296
09:55,58.40°,70.12°,19.88°,-160.12°,0.61521
10:00,59.53°,69.10°,20.90°,-159.10°,0.58829
10:05,60.66°,68.01°,21.99°,-158.01°,0.56218
10:10,61.77°,66.85°,23.15°,-156.85°,0.53683
10:15,62.88°,65.60°,24.40°,-155.60°,0.51223
10:20,63.97°,64.25°,25.75°,-154.25°,0.48836
10:25,65.05°,62.80°,27.20°,-152.80°,0.46519
10:30,66.12°,61.23°,28.77°,-151.23°,0.44274
10:35,67.17°,59.53°,30.47°,-149.53°,0.42099
10:40,68.20°,57.68°,32.32°,-147.68°,0.39996
10:45,69.21°,55.66°,34.34°,-145.66°,0.37967
10:50,70.19°,53.44°,36.56°,-143.44°,0.36014
10:55,71.15°,51.01°,38.99°,-141.01°,0.34142
11:00,72.07°,48.34°,41.66°,-138.34°,0.32357
11:05,72.95°,45.40°,44.60°,-135.40°,0.30665
11:10,73.79°,42.16°,47.84°,-132.16°,0.29076
11:15,74.57°,38.59°,51.41°,-128.59°,0.27600
11:20,75.29°,34.67°,55.33°,-124.67°,0.26250
11:25,75.94°,30.38°,59.62°,-120.38°,0.25041
11:30,76.51°,25.70°,64.30°,-115.70°,0.23990
11:35,76.99°,20.67°,69.33°,-110.67°,0.23113
11:40,77.36°,15.30°,74.70°,-105.30°,0.22428
11:45,77.62°,9.66°,80.34°,-99.66°,0.21949
11:50,77.76°,3.84°,86.16°,-93.84°,0.21689
11:55,77.78°,-2.05°,92.05°,-87.95°,0.21655
12:00,77.68°,-7.91°,97.91°,-82.09°,0.21846
12:05,77.45°,-13.61°,103.61°,-76.39°,0.22260
12:10,77.11°,-19.07°,109.07°,-70.93°,0.22884
12:15,76.66°,-24.21°,114.21°,-65.79°,0.23704
12:20,76.12°,-29.00°,119.00°,-61.00°,0.24704
12:25,75.50°,-33.40°,123.40°,-56.60°,0.25867
12:30,74.80°,-37.44°,127.44°,-52.56°,0.27176
12:35,74.03°,-41.11°,131.11°,-48.89°,0.28615
12:40,73.21°,-44.45°,134.45°,-45.55°,0.30171
12:45,72.34°,-47.48°,137.48°,-42.52°,0.31832
12:50,71.43°,-50.23°,140.23°,-39.77°,0.33590
12:55,70.49°,-52.73°,142.73°,-37.27°,0.35436
13:00,69.51°,-55.00°,145.00°,-35.00°,0.37365
13:05,68.51°,-57.08°,147.08°,-32.92°,0.39371
13:10,67.48°,-58.99°,148.99°,-31.01°,0.41452
13:15,66.44°,-60.73°,150.73°,-29.27°,0.43605
13:20,65.38°,-62.34°,152.34°,-27.66°,0.45829
13:25,64.30°,-63.82°,153.82°,-26.18°,0.48124
13:30,63.21°,-65.20°,155.20°,-24.80°,0.50490
13:35,62.11°,-66.48°,156.48°,-23.52°,0.52928
13:40,61.00°,-67.66°,157.66°,-22.34°,0.55439
13:45,59.87°,-68.77°,158.77°,-21.23°,0.58027
13:50,58.74°,-69.81°,159.81°,-20.19°,0.60694
13:55,57.61°,-70.79°,160.79°,-19.21°,0.63443
14:00,56.46°,-71.71°,161.71°,-18.29°,0.66279
14:05,55.31°,-72.58°,162.58°,-17.42°,0.69206
14:10,54.16°,-73.40°,163.40°,-16.60°,0.72230
14:15,53.00°,-74.17°,164.17°,-15.83°,0.75356
14:20,51.84°,-74.91°,164.91°,-15.09°,0.78592
14:25,50.67°,-75.61°,165.61°,-14.39°,0.81944
14:30,49.50°,-76.29°,166.29°,-13.71°,0.85420
14:35,48.32°,-76.93°,166.93°,-13.07°,0.89031
14:40,47.14°,-77.54°,167.54°,-12.46°,0.92785
14:45,45.96°,-78.13°,168.13°,-11.87°,0.96695
14:50,44.78°,-78.70°,168.70°,-11.30°,1.00772
14:55,43.59°,-79.24°,169.24°,-10.76°,1.05031
15:00,42.41°,-79.77°,169.77°,-10.23°,1.09487
